epoch,step,train/closure_ratio,train/dir_trace,train/edge_trace_sum,train/invalid_batch,train/leaf_trace,train/loss,train/mv_retained_min,train/retained_min,train/whitening,val/closure_defect_frobenius,val/closure_ratio,val/dir_trace,val/edge_trace_sum,val/invalid_batch,val/leaf_trace,val/loss,val/mv_retained_min,val/retained_min,val/whitening,val_score
22,2690,0.005008004140108824,14.815628051757812,14.845870971679688,0.0,15.39079761505127,-17.23874282836914,17.0,17.0,15.295835494995117,,,,,,,,,,,
23,2807,0.004964442458003759,14.827556610107422,14.847444534301758,0.0,15.415675163269043,-17.248685836791992,17.0,17.0,15.328580856323242,,,,,,,,,,,
24,2924,0.004748603794723749,14.889104843139648,14.921035766601562,0.0,15.450477600097656,-17.34880256652832,17.0,17.0,15.36716079711914,,,,,,,,,,,
25,3041,0.004704257473349571,14.895574569702148,14.907208442687988,0.0,15.458131790161133,-17.368104934692383,17.0,17.0,15.364897727966309,,,,,,,,,,,
26,3158,0.004513091873377562,14.972034454345703,14.992709159851074,0.0,15.517683029174805,-17.493539810180664,17.0,17.0,15.417043685913086,,,,,,,,,,,
27,3275,0.004318244755268097,15.021575927734375,15.057217597961426,0.0,15.549812316894531,-17.57571029663086,17.0,17.0,15.454386711120605,,,,,,,,,,,
28,3392,0.004183345008641481,15.041712760925293,15.049571990966797,0.0,15.570810317993164,-17.614316940307617,17.0,17.0,15.47264289855957,,,,,,,,,,,
29,3509,,,,,,,,,,0.309735506772995,0.006787629798054695,14.902277946472168,15.020529747009277,0.0,15.5281982421875,-14.539901733398438,16.99679946899414,16.99679946899414,18.025863647460938,14.539901733398438
29,3509,0.004257666878402233,15.059852600097656,15.08324146270752,0.0,15.578826904296875,-17.63490104675293,17.0,17.0,15.475446701049805,,,,,,,,,,,
30,3626,0.004174479283392429,15.119081497192383,15.168270111083984,0.0,15.624679565429688,-17.713685989379883,17.0,17.0,15.52939224243164,,,,,,,,,,,
31,3743,0.004398884251713753,15.121857643127441,15.143178939819336,0.0,15.626484870910645,-17.702640533447266,17.0,17.0,15.511276245117188,,,,,,,,,,,
32,3860,0.004417667165398598,15.178780555725098,15.197290420532227,0.0,15.660473823547363,-17.74683952331543,17.0,17.0,15.566408157348633,,,,,,,,,,,
33,3977,0.004501371178776026,15.182044982910156,15.199108123779297,0.0,15.671568870544434,-17.763835906982422,17.0,17.0,15.55343246459961,,,,,,,,,,,
