epoch,step,train/edge_trace_sum,train/loss,val/closure_defect_frobenius,val/edge_trace_sum,val/loss,val_score
142,16730,199.81488037109375,-199.81488037109375,,,,
143,16847,200.1667022705078,-200.1667022705078,,,,
144,16964,200.3331298828125,-200.3331298828125,,,,
145,17081,200.2526397705078,-200.2526397705078,,,,
146,17198,200.13938903808594,-200.13938903808594,,,,
147,17315,200.34808349609375,-200.34808349609375,,,,
148,17432,200.44821166992188,-200.44821166992188,,,,
149,17549,,,3.9590377807617188,193.7642364501953,-193.7642364501953,193.7642364501953
149,17549,200.31211853027344,-200.31211853027344,,,,
150,17666,200.715087890625,-200.715087890625,,,,
151,17783,200.7405548095703,-200.7405548095703,,,,
152,17900,200.8618621826172,-200.8618621826172,,,,
153,18017,200.83819580078125,-200.83819580078125,,,,
154,18134,201.27525329589844,-201.27525329589844,,,,
155,18251,201.07516479492188,-201.07516479492188,,,,
156,18368,200.98739624023438,-200.98739624023438,,,,
157,18485,201.12255859375,-201.12255859375,,,,
158,18602,201.1678009033203,-201.1678009033203,,,,
159,18719,,,3.947564125061035,194.2042999267578,-194.2042999267578,194.2042999267578
159,18719,201.5217742919922,-201.5217742919922,,,,
160,18836,201.38685607910156,-201.38685607910156,,,,
161,18953,201.42269897460938,-201.42269897460938,,,,
162,19070,201.39292907714844,-201.39292907714844,,,,
163,19187,201.5326385498047,-201.5326385498047,,,,
164,19304,201.61160278320312,-201.61160278320312,,,,
165,19421,201.29763793945312,-201.29763793945312,,,,
166,19538,201.79241943359375,-201.79241943359375,,,,
167,19655,201.8312225341797,-201.8312225341797,,,,
168,19772,201.86843872070312,-201.86843872070312,,,,
169,19889,,,3.9339334964752197,194.59080505371094,-194.59080505371094,194.59080505371094
169,19889,201.8768768310547,-201.8768768310547,,,,
170,20006,201.8687286376953,-201.8687286376953,,,,
171,20123,201.87091064453125,-201.87091064453125,,,,
172,20240,201.87913513183594,-201.87913513183594,,,,
173,20357,201.98190307617188,-201.98190307617188,,,,
174,20474,202.08731079101562,-202.08731079101562,,,,
175,20591,202.1083221435547,-202.1083221435547,,,,
176,20708,202.27232360839844,-202.27232360839844,,,,
177,20825,202.2228546142578,-202.2228546142578,,,,
178,20942,202.07568359375,-202.07568359375,,,,
179,21059,,,3.925905466079712,194.74253845214844,-194.74253845214844,194.74253845214844
179,21059,202.1276092529297,-202.1276092529297,,,,
180,21176,202.2618408203125,-202.2618408203125,,,,
181,21293,202.33660888671875,-202.33660888671875,,,,
182,21410,202.432861328125,-202.432861328125,,,,
183,21527,202.3131561279297,-202.3131561279297,,,,
184,21644,202.5758819580078,-202.5758819580078,,,,
185,21761,202.47959899902344,-202.47959899902344,,,,
186,21878,202.2866973876953,-202.2866973876953,,,,
187,21995,202.51377868652344,-202.51377868652344,,,,
188,22112,202.44386291503906,-202.44386291503906,,,,
189,22229,,,3.9232940673828125,194.83279418945312,-194.83279418945312,194.83279418945312
189,22229,202.47837829589844,-202.47837829589844,,,,
190,22346,202.42530822753906,-202.42530822753906,,,,
191,22463,202.5367889404297,-202.5367889404297,,,,
192,22580,202.20603942871094,-202.20603942871094,,,,
193,22697,202.7530059814453,-202.7530059814453,,,,
194,22814,202.3229217529297,-202.3229217529297,,,,
195,22931,202.59754943847656,-202.59754943847656,,,,
196,23048,202.41082763671875,-202.41082763671875,,,,
197,23165,202.85826110839844,-202.85826110839844,,,,
198,23282,202.47674560546875,-202.47674560546875,,,,
199,23399,,,3.9284472465515137,194.85948181152344,-194.85948181152344,194.85948181152344
199,23399,202.58767700195312,-202.58767700195312,,,,
