epoch,step,train/alpha_effective,train/closure_ratio,train/dir_trace,train/edge_trace_sum,train/leaf_trace,train/loss,train/whitening,val/alpha_effective,val/closure_defect_frobenius,val/closure_ratio,val/dir_trace,val/edge_trace_sum,val/leaf_trace,val/loss,val/whitening,val_score
21,3849,0.2000003457069397,0.14885084331035614,9.492177963256836,78.79285430908203,74.3619613647461,-80.30706787109375,0.25273606181144714,,,,,,,,,
22,4024,0.2000003457069397,0.14084693789482117,9.424187660217285,81.044921875,75.21532440185547,-82.58120727539062,0.23890012502670288,,,,,,,,,
23,4199,0.2000003457069397,0.13738147914409637,9.364067077636719,83.21429443359375,76.17568969726562,-84.35836029052734,0.23942109942436218,,,,,,,,,
24,4374,0.2000003457069397,0.1318962723016739,9.292563438415527,85.07398986816406,76.9565200805664,-86.15328979492188,0.22785407304763794,,,,,,,,,
25,4549,0.2000003457069397,0.12717391550540924,9.24938678741455,87.05351257324219,77.67598724365234,-87.83346557617188,0.22433345019817352,,,,,,,,,
26,4724,0.2000003457069397,0.12231151014566422,9.219605445861816,88.67753601074219,78.30213165283203,-89.38255310058594,0.21881791949272156,,,,,,,,,
27,4899,0.2000003457069397,0.11922991275787354,9.176787376403809,90.23979187011719,79.01420593261719,-90.76639556884766,0.21111327409744263,,,,,,,,,
28,5074,0.2000003457069397,0.11588742583990097,9.128962516784668,91.5122299194336,79.4808349609375,-91.87073516845703,0.20790354907512665,,,,,,,,,
29,5249,,,,,,,,0.20000001788139343,1.2342545986175537,0.1414341926574707,8.916973114013672,91.827392578125,78.47727966308594,-87.46724700927734,0.18891654908657074,87.46724700927734
29,5249,0.2000003457069397,0.11250337958335876,9.10843563079834,92.81816101074219,80.10777282714844,-93.17707061767578,0.20241311192512512,,,,,,,,,
30,5424,0.2000003457069397,0.1103273555636406,9.081564903259277,93.77439880371094,80.6659927368164,-94.18441772460938,0.1960926204919815,,,,,,,,,
31,5599,0.2000003457069397,0.1078934371471405,9.053170204162598,94.75669860839844,81.10694122314453,-95.1152114868164,0.18589279055595398,,,,,,,,,
32,5774,0.2000003457069397,0.10485498607158661,9.048699378967285,95.56062316894531,81.73812866210938,-96.29619598388672,0.1813139170408249,,,,,,,,,
33,5949,0.2000003457069397,0.10332459956407547,9.030285835266113,96.1677474975586,82.07597351074219,-96.93687438964844,0.17740891873836517,,,,,,,,,
34,6124,0.2000003457069397,0.10041526705026627,9.04850959777832,96.96964263916016,82.61117553710938,-98.02509307861328,0.1754179745912552,,,,,,,,,
35,6299,0.2000003457069397,0.09703772515058517,9.045748710632324,97.61021423339844,83.054931640625,-99.03593444824219,0.1659713238477707,,,,,,,,,
36,6474,0.2000003457069397,0.09600528329610825,9.054465293884277,98.03012084960938,83.39351654052734,-99.6017074584961,0.16361644864082336,,,,,,,,,
37,6649,0.2000003457069397,0.09423109143972397,9.061922073364258,98.589599609375,83.76203918457031,-100.31751251220703,0.16277386248111725,,,,,,,,,
