epoch,step,train/edge_trace_sum,train/loss,val/closure_defect_frobenius,val/edge_trace_sum,val/loss,val_score
59,7019,,,4.160391330718994,184.14356994628906,-184.14356994628906,184.14356994628906
59,7019,188.57015991210938,-188.57015991210938,,,,
60,7136,188.8595733642578,-188.8595733642578,,,,
61,7253,188.57177734375,-188.57177734375,,,,
62,7370,189.3817138671875,-189.3817138671875,,,,
63,7487,189.2102813720703,-189.2102813720703,,,,
64,7604,189.5692901611328,-189.5692901611328,,,,
65,7721,189.771484375,-189.771484375,,,,
66,7838,189.9187774658203,-189.9187774658203,,,,
67,7955,189.9535369873047,-189.9535369873047,,,,
68,8072,189.85833740234375,-189.85833740234375,,,,
69,8189,,,4.149110317230225,185.04837036132812,-185.04837036132812,185.04837036132812
69,8189,190.41778564453125,-190.41778564453125,,,,
70,8306,190.49005126953125,-190.49005126953125,,,,
71,8423,190.6370391845703,-190.6370391845703,,,,
72,8540,190.8311309814453,-190.8311309814453,,,,
73,8657,191.0916748046875,-191.0916748046875,,,,
74,8774,191.05274963378906,-191.05274963378906,,,,
75,8891,191.28639221191406,-191.28639221191406,,,,
76,9008,191.7588348388672,-191.7588348388672,,,,
77,9125,191.481201171875,-191.481201171875,,,,
78,9242,191.732421875,-191.732421875,,,,
79,9359,,,4.089607238769531,187.26669311523438,-187.26669311523438,187.26669311523438
79,9359,192.07919311523438,-192.07919311523438,,,,
80,9476,192.0337677001953,-192.0337677001953,,,,
81,9593,192.0534210205078,-192.0534210205078,,,,
82,9710,192.54473876953125,-192.54473876953125,,,,
83,9827,192.59539794921875,-192.59539794921875,,,,
84,9944,192.51666259765625,-192.51666259765625,,,,
85,10061,192.57839965820312,-192.57839965820312,,,,
86,10178,192.66270446777344,-192.66270446777344,,,,
87,10295,193.03335571289062,-193.03335571289062,,,,
88,10412,192.91012573242188,-192.91012573242188,,,,
89,10529,,,4.102422714233398,188.48606872558594,-188.48606872558594,188.48606872558594
89,10529,193.21388244628906,-193.21388244628906,,,,
90,10646,193.14361572265625,-193.14361572265625,,,,
91,10763,193.74118041992188,-193.74118041992188,,,,
92,10880,193.84068298339844,-193.84068298339844,,,,
93,10997,193.67076110839844,-193.67076110839844,,,,
94,11114,193.849365234375,-193.849365234375,,,,
95,11231,193.9686737060547,-193.9686737060547,,,,
96,11348,194.0543212890625,-194.0543212890625,,,,
97,11465,194.2547149658203,-194.2547149658203,,,,
98,11582,194.1188201904297,-194.1188201904297,,,,
99,11699,,,4.05005407333374,189.82835388183594,-189.82835388183594,189.82835388183594
99,11699,194.41561889648438,-194.41561889648438,,,,
100,11816,194.674560546875,-194.674560546875,,,,
101,11933,194.28369140625,-194.28369140625,,,,
102,12050,194.71063232421875,-194.71063232421875,,,,
103,12167,194.80516052246094,-194.80516052246094,,,,
104,12284,195.07064819335938,-195.07064819335938,,,,
105,12401,194.88011169433594,-194.88011169433594,,,,
