root,unit,variant,seed,status,dataset,images_optimized,max_epochs,chain_normalization,estimator_field,auxiliary_multiview_term,auxiliary_gram_detached,matrix_target,train_start,train_commit,resume_versions,sgd_probe,profile
gate1_20260910_paper_v1,paper_composition__seed2,paper_composition,2,complete,cifar10,30000,200,"truncated inverse roots, tau 0.001",,ridge-1e-3 trace score on mean of views (pre-02fa55e),"no (ridge trace score; gradients through R_f, R_g, P_fg)","direct endpoint operator in gradient, no EMA, no stop-grad (paper_ arms assert this)",2026-09-10 22:42,69f27a0,1,82.84,layerwise_profile.json
gate1_20260910_paper_v1,paper_composition__seed3,paper_composition,3,complete,cifar10,30000,200,"truncated inverse roots, tau 0.001",,ridge-1e-3 trace score on mean of views (pre-02fa55e),"no (ridge trace score; gradients through R_f, R_g, P_fg)","direct endpoint operator in gradient, no EMA, no stop-grad (paper_ arms assert this)",2026-09-10 22:42,69f27a0,1,82.43,layerwise_profile.json
gate1_20260910_paper_v1,paper_endpoint_only__seed1,paper_endpoint_only,1,complete,cifar10,30000,200,"truncated inverse roots, tau 0.001",,none (leaf weight 0),n/a,"direct endpoint operator in gradient, no EMA, no stop-grad (paper_ arms assert this)",2026-09-11 20:04,c8eeb7d,1,74.3,blockwise_profile.json
gate1_20260910_paper_v1,paper_endpoint_only__seed2,paper_endpoint_only,2,complete,cifar10,30000,200,"truncated inverse roots, tau 0.001",,none (leaf weight 0),n/a,"direct endpoint operator in gradient, no EMA, no stop-grad (paper_ arms assert this)",2026-09-11 23:59,f795b11,1,73.01,blockwise_profile.json
gate1_20260910_paper_v1,paper_endpoint_only__seed3,paper_endpoint_only,3,complete,cifar10,30000,200,"truncated inverse roots, tau 0.001",,none (leaf weight 0),n/a,"direct endpoint operator in gradient, no EMA, no stop-grad (paper_ arms assert this)",2026-09-12 00:01,f795b11,1,73.03,blockwise_profile.json
gate1_20260910_paper_v1,paper_lambda0__seed1,paper_lambda0,1,complete,cifar10,30000,200,"truncated inverse roots, tau 0.001",,none (leaf weight 0),n/a,"direct endpoint operator in gradient, no EMA, no stop-grad (paper_ arms assert this)",2026-09-11 03:16,97499e8,1,78.01,layerwise_profile.json
gate1_20260910_paper_v1,paper_lambda0__seed2,,,failed,cifar10,30000,200,ridge ,,none (leaf weight 0),n/a,ridge/EMA per variant,2026-09-11 02:36,97499e8,2,,
gate1_20260910_paper_v1,paper_lambda0__seed3,paper_lambda0,3,complete,cifar10,30000,200,"truncated inverse roots, tau 0.001",,none (leaf weight 0),n/a,"direct endpoint operator in gradient, no EMA, no stop-grad (paper_ arms assert this)",2026-09-11 03:25,97499e8,1,78.13,layerwise_profile.json
gate1_20260911_paper_c100,paper_T2__seed1,paper_T2,1,complete,cifar100,30000,200,"truncated inverse roots, tau 0.001",,truncated whiteners on pair-specific Grams (02fa55e and later),yes (gram_detach_metric default True),"direct endpoint operator in gradient, no EMA, no stop-grad (paper_ arms assert this)",2026-09-11 19:37,c8eeb7d,1,33.88,blockwise_profile.json
gate1_20260911_paper_c100,paper_T2__seed2,paper_T2,2,complete,cifar100,30000,200,"truncated inverse roots, tau 0.001",,truncated whiteners on pair-specific Grams (02fa55e and later),yes (gram_detach_metric default True),"direct endpoint operator in gradient, no EMA, no stop-grad (paper_ arms assert this)",2026-09-11 19:37,c8eeb7d,1,33.65,blockwise_profile.json
gate1_20260911_paper_c100,paper_T2__seed3,paper_T2,3,complete,cifar100,30000,200,"truncated inverse roots, tau 0.001",,truncated whiteners on pair-specific Grams (02fa55e and later),yes (gram_detach_metric default True),"direct endpoint operator in gradient, no EMA, no stop-grad (paper_ arms assert this)",2026-09-11 19:37,c8eeb7d,1,33.27,blockwise_profile.json
gate1_20260911_paper_c100,paper_alpha0__seed1,paper_alpha0,1,complete,cifar100,30000,200,"truncated inverse roots, tau 0.001",,truncated whiteners on pair-specific Grams (02fa55e and later),yes (gram_detach_metric default True),"direct endpoint operator in gradient, no EMA, no stop-grad (paper_ arms assert this)",2026-09-11 19:09,c8eeb7d,1,44.62,blockwise_profile.json
gate1_20260911_paper_c100,paper_alpha0__seed2,paper_alpha0,2,complete,cifar100,30000,200,"truncated inverse roots, tau 0.001",,truncated whiteners on pair-specific Grams (02fa55e and later),yes (gram_detach_metric default True),"direct endpoint operator in gradient, no EMA, no stop-grad (paper_ arms assert this)",2026-09-11 19:29,c8eeb7d,1,45.07,blockwise_profile.json
gate1_20260911_paper_c100,paper_alpha0__seed3,paper_alpha0,3,complete,cifar100,30000,200,"truncated inverse roots, tau 0.001",,truncated whiteners on pair-specific Grams (02fa55e and later),yes (gram_detach_metric default True),"direct endpoint operator in gradient, no EMA, no stop-grad (paper_ arms assert this)",2026-09-11 19:33,c8eeb7d,1,44.71,blockwise_profile.json
gate1_20260911_paper_c100,paper_beta0__seed1,paper_beta0,1,complete,cifar100,30000,200,"truncated inverse roots, tau 0.001",,truncated whiteners on pair-specific Grams (02fa55e and later),yes (gram_detach_metric default True),"direct endpoint operator in gradient, no EMA, no stop-grad (paper_ arms assert this)",2026-09-11 14:04,8ebc4eb,1,49.24,blockwise_profile.json
gate1_20260911_paper_c100,paper_beta0__seed2,paper_beta0,2,complete,cifar100,30000,200,"truncated inverse roots, tau 0.001",,truncated whiteners on pair-specific Grams (02fa55e and later),yes (gram_detach_metric default True),"direct endpoint operator in gradient, no EMA, no stop-grad (paper_ arms assert this)",2026-09-11 14:04,8ebc4eb,1,45.4,blockwise_profile.json
gate1_20260911_paper_c100,paper_beta0__seed3,paper_beta0,3,complete,cifar100,30000,200,"truncated inverse roots, tau 0.001",,truncated whiteners on pair-specific Grams (02fa55e and later),yes (gram_detach_metric default True),"direct endpoint operator in gradient, no EMA, no stop-grad (paper_ arms assert this)",2026-09-11 14:04,8ebc4eb,1,50.14,blockwise_profile.json
gate1_20260911_paper_c100,paper_composition__seed1,paper_composition,1,complete,cifar100,30000,200,"truncated inverse roots, tau 0.001",,truncated whiteners on pair-specific Grams (02fa55e and later),yes (gram_detach_metric default True),"direct endpoint operator in gradient, no EMA, no stop-grad (paper_ arms assert this)",2026-09-11 14:04,8ebc4eb,1,44.66,blockwise_profile.json
gate1_20260911_paper_c100,paper_composition__seed2,paper_composition,2,complete,cifar100,30000,200,"truncated inverse roots, tau 0.001",,truncated whiteners on pair-specific Grams (02fa55e and later),yes (gram_detach_metric default True),"direct endpoint operator in gradient, no EMA, no stop-grad (paper_ arms assert this)",2026-09-11 14:04,8ebc4eb,1,45.91,blockwise_profile.json
gate1_20260911_paper_c100,paper_composition__seed3,paper_composition,3,complete,cifar100,30000,200,"truncated inverse roots, tau 0.001",,truncated whiteners on pair-specific Grams (02fa55e and later),yes (gram_detach_metric default True),"direct endpoint operator in gradient, no EMA, no stop-grad (paper_ arms assert this)",2026-09-11 14:04,8ebc4eb,1,45.47,blockwise_profile.json
gate1_20260911_paper_c100,paper_endpoint_only__seed1,paper_endpoint_only,1,complete,cifar100,30000,200,"truncated inverse roots, tau 0.001",,none (leaf weight 0),n/a,"direct endpoint operator in gradient, no EMA, no stop-grad (paper_ arms assert this)",2026-09-12 00:05,f795b11,1,45.02,blockwise_profile.json
gate1_20260911_paper_c100,paper_endpoint_only__seed2,paper_endpoint_only,2,complete,cifar100,30000,200,"truncated inverse roots, tau 0.001",,none (leaf weight 0),n/a,"direct endpoint operator in gradient, no EMA, no stop-grad (paper_ arms assert this)",2026-09-12 00:38,f795b11,1,47.78,blockwise_profile.json
gate1_20260911_paper_c100,paper_endpoint_only__seed3,paper_endpoint_only,3,complete,cifar100,30000,200,"truncated inverse roots, tau 0.001",,none (leaf weight 0),n/a,"direct endpoint operator in gradient, no EMA, no stop-grad (paper_ arms assert this)",2026-09-12 00:41,f795b11,1,47.68,blockwise_profile.json
gate1_20260911_paper_c100,paper_lambda0__seed1,,,failed,cifar100,30000,200,ridge ,,none (leaf weight 0),n/a,ridge/EMA per variant,2026-09-11 14:05,8ebc4eb,1,,
gate1_20260911_paper_c100,paper_lambda0__seed2,,,failed,cifar100,30000,200,ridge ,,none (leaf weight 0),n/a,ridge/EMA per variant,2026-09-11 14:05,8ebc4eb,1,,
gate1_20260911_paper_c100,paper_lambda0__seed3,paper_lambda0,3,complete,cifar100,30000,200,"truncated inverse roots, tau 0.001",,none (leaf weight 0),n/a,"direct endpoint operator in gradient, no EMA, no stop-grad (paper_ arms assert this)",2026-09-11 19:07,c8eeb7d,1,49.15,blockwise_profile.json
gate1_20260911_paper_probe2,paper_K256__seed1,paper_K256,1,complete,cifar10,30000,200,"truncated inverse roots, tau 0.001",,truncated whiteners on pair-specific Grams (02fa55e and later),yes (gram_detach_metric default True),"direct endpoint operator in gradient, no EMA, no stop-grad (paper_ arms assert this)",2026-09-12 01:36,56810c3,2,78.8,blockwise_profile.json
gate1_20260911_paper_probe2,paper_T4__seed1,paper_T4,1,complete,cifar10,30000,200,"truncated inverse roots, tau 0.001",,truncated whiteners on pair-specific Grams (02fa55e and later),yes (gram_detach_metric default True),"direct endpoint operator in gradient, no EMA, no stop-grad (paper_ arms assert this)",2026-09-12 00:59,f795b11,1,75.71,blockwise_profile.json
gate1_20260911_paper_robust,paper_K256__seed2,paper_K256,2,complete,cifar10,30000,200,"truncated inverse roots, tau 0.001",,truncated whiteners on pair-specific Grams (02fa55e and later),yes (gram_detach_metric default True),"direct endpoint operator in gradient, no EMA, no stop-grad (paper_ arms assert this)",2026-09-12 07:05,762c299,1,78.42,blockwise_profile.json
gate1_20260911_paper_robust,paper_K256__seed3,paper_K256,3,complete,cifar10,30000,200,"truncated inverse roots, tau 0.001",,truncated whiteners on pair-specific Grams (02fa55e and later),yes (gram_detach_metric default True),"direct endpoint operator in gradient, no EMA, no stop-grad (paper_ arms assert this)",2026-09-12 07:06,762c299,1,76.91,blockwise_profile.json
gate1_20260911_paper_robust,paper_T4__seed2,paper_T4,2,complete,cifar10,30000,200,"truncated inverse roots, tau 0.001",,truncated whiteners on pair-specific Grams (02fa55e and later),yes (gram_detach_metric default True),"direct endpoint operator in gradient, no EMA, no stop-grad (paper_ arms assert this)",2026-09-12 07:33,762c299,1,77.05,blockwise_profile.json
gate1_20260911_paper_robust,paper_T4__seed3,paper_T4,3,complete,cifar10,30000,200,"truncated inverse roots, tau 0.001",,truncated whiteners on pair-specific Grams (02fa55e and later),yes (gram_detach_metric default True),"direct endpoint operator in gradient, no EMA, no stop-grad (paper_ arms assert this)",2026-09-12 07:33,762c299,1,76.67,blockwise_profile.json
gate1_20260912_star,paper_composition__seed1,paper_composition,1,complete,cifar10,30000,200,"truncated inverse roots, tau 0.001",,truncated whiteners on pair-specific Grams (02fa55e and later),yes (gram_detach_metric default True),"direct endpoint operator in gradient, no EMA, no stop-grad (paper_ arms assert this)",2026-09-12 05:41,762c299,1,79.09,blockwise_profile.json
gate1_20260912_star,paper_composition__seed2,paper_composition,2,complete,cifar10,30000,200,"truncated inverse roots, tau 0.001",,truncated whiteners on pair-specific Grams (02fa55e and later),yes (gram_detach_metric default True),"direct endpoint operator in gradient, no EMA, no stop-grad (paper_ arms assert this)",2026-09-12 11:46,762c299,1,79.62,blockwise_profile.json
gate1_20260912_star,paper_composition__seed3,paper_composition,3,complete,cifar10,30000,200,"truncated inverse roots, tau 0.001",,truncated whiteners on pair-specific Grams (02fa55e and later),yes (gram_detach_metric default True),"direct endpoint operator in gradient, no EMA, no stop-grad (paper_ arms assert this)",2026-09-12 11:56,762c299,1,78.39,blockwise_profile.json
gate1_20260912_x2x2,paper_composition__seed1,paper_composition,1,complete,cifar10,30000,200,ridge ridge,ridge,truncated whiteners on pair-specific Grams (02fa55e and later),yes (gram_detach_metric default True),"direct endpoint operator in gradient, no EMA, no stop-grad (paper_ arms assert this)",2026-09-12 05:40,762c299,1,80.07,blockwise_profile.json
gate1_20260912_x2x2,paper_composition__seed2,paper_composition,2,complete,cifar10,30000,200,ridge ridge,ridge,truncated whiteners on pair-specific Grams (02fa55e and later),yes (gram_detach_metric default True),"direct endpoint operator in gradient, no EMA, no stop-grad (paper_ arms assert this)",2026-09-12 11:13,762c299,1,80.14,blockwise_profile.json
gate1_20260912_x2x2,paper_composition__seed3,paper_composition,3,complete,cifar10,30000,200,ridge ridge,ridge,truncated whiteners on pair-specific Grams (02fa55e and later),yes (gram_detach_metric default True),"direct endpoint operator in gradient, no EMA, no stop-grad (paper_ arms assert this)",2026-09-12 11:13,762c299,1,81.34,blockwise_profile.json
gate1_20260912_x2x2,product_endpoint__seed1,product_endpoint,1,complete,cifar10,37500,200,ridge truncated,truncated,truncated whiteners on pair-specific Grams (02fa55e and later),yes (gram_detach_metric default True),ridge/EMA per variant,2026-09-12 05:40,762c299,1,81.9,blockwise_profile.json
gate1_20260912_x2x2,product_endpoint__seed2,product_endpoint,2,complete,cifar10,37500,200,ridge truncated,truncated,truncated whiteners on pair-specific Grams (02fa55e and later),yes (gram_detach_metric default True),ridge/EMA per variant,2026-09-12 12:19,762c299,1,81.79,blockwise_profile.json
gate1_20260912_x2x2,product_endpoint__seed3,product_endpoint,3,complete,cifar10,37500,200,ridge truncated,truncated,truncated whiteners on pair-specific Grams (02fa55e and later),yes (gram_detach_metric default True),ridge/EMA per variant,2026-09-12 12:37,762c299,1,81.17,blockwise_profile.json
gate1_20260913_major45k,paper_composition__seed1,paper_composition,1,complete,cifar10,45000,200,"truncated inverse roots, tau 0.001",,truncated whiteners on pair-specific Grams (02fa55e and later),yes (gram_detach_metric default True),"direct endpoint operator in gradient, no EMA, no stop-grad (paper_ arms assert this)",2026-09-13 23:17,75f1055,1,78.32,blockwise_profile_epoch-0200.json
gate1_20260913_major45k,paper_composition__seed2,paper_composition,2,complete,cifar10,45000,200,"truncated inverse roots, tau 0.001",,truncated whiteners on pair-specific Grams (02fa55e and later),yes (gram_detach_metric default True),"direct endpoint operator in gradient, no EMA, no stop-grad (paper_ arms assert this)",2026-09-13 23:17,75f1055,1,78.47,blockwise_profile_epoch-0200.json
gate1_20260913_major45k,paper_composition__seed3,paper_composition,3,complete,cifar10,45000,200,"truncated inverse roots, tau 0.001",,truncated whiteners on pair-specific Grams (02fa55e and later),yes (gram_detach_metric default True),"direct endpoint operator in gradient, no EMA, no stop-grad (paper_ arms assert this)",2026-09-13 23:17,75f1055,1,78.32,blockwise_profile_epoch-0200.json
gate1_20260913_major45k_c100,paper_composition__seed1,paper_composition,1,complete,cifar100,45000,200,"truncated inverse roots, tau 0.001",,truncated whiteners on pair-specific Grams (02fa55e and later),yes (gram_detach_metric default True),"direct endpoint operator in gradient, no EMA, no stop-grad (paper_ arms assert this)",2026-09-13 23:17,75f1055,1,42.48,blockwise_profile_epoch-0200.json
gate1_20260913_major45k_c100,paper_composition__seed2,paper_composition,2,complete,cifar100,45000,200,"truncated inverse roots, tau 0.001",,truncated whiteners on pair-specific Grams (02fa55e and later),yes (gram_detach_metric default True),"direct endpoint operator in gradient, no EMA, no stop-grad (paper_ arms assert this)",2026-09-13 23:17,75f1055,1,44.48,blockwise_profile_epoch-0200.json
gate1_20260913_major45k_c100,paper_composition__seed3,paper_composition,3,complete,cifar100,45000,200,"truncated inverse roots, tau 0.001",,truncated whiteners on pair-specific Grams (02fa55e and later),yes (gram_detach_metric default True),"direct endpoint operator in gradient, no EMA, no stop-grad (paper_ arms assert this)",2026-09-13 23:17,75f1055,1,42.94,blockwise_profile_epoch-0200.json
gate1_20260914_bifurc_30k,paper_composition__seed1,paper_composition,1,complete,cifar10,30000,5,"truncated inverse roots, tau 0.001",,truncated whiteners on pair-specific Grams (02fa55e and later),yes (gram_detach_metric default True),"direct endpoint operator in gradient, no EMA, no stop-grad (paper_ arms assert this)",2026-09-14 23:18,27c8dc9,1,53.43,blockwise_profile.json
gate1_20260914_bifurc_30k,paper_composition__seed2,paper_composition,2,complete,cifar10,30000,5,"truncated inverse roots, tau 0.001",,truncated whiteners on pair-specific Grams (02fa55e and later),yes (gram_detach_metric default True),"direct endpoint operator in gradient, no EMA, no stop-grad (paper_ arms assert this)",2026-09-14 23:18,27c8dc9,1,54.48,blockwise_profile.json
gate1_20260914_bifurc_30k,paper_composition__seed3,paper_composition,3,complete,cifar10,30000,5,"truncated inverse roots, tau 0.001",,truncated whiteners on pair-specific Grams (02fa55e and later),yes (gram_detach_metric default True),"direct endpoint operator in gradient, no EMA, no stop-grad (paper_ arms assert this)",2026-09-14 23:18,27c8dc9,1,53.26,blockwise_profile.json
gate1_20260914_bifurc_30k_oldcode_5322cdb,paper_composition__seed1,paper_composition,1,complete,cifar10,30000,5,"truncated inverse roots, tau 0.001",,ridge-1e-3 trace score on mean of views (worktree 5322cdb),"no (ridge trace score; gradients through R_f, R_g, P_fg)","direct endpoint operator in gradient, no EMA, no stop-grad (paper_ arms assert this)",2026-09-15 03:32,9f4580c,1,56.17,
gate1_20260914_bifurc_30k_oldcode_5322cdb,paper_composition__seed2,paper_composition,2,complete,cifar10,30000,5,"truncated inverse roots, tau 0.001",,ridge-1e-3 trace score on mean of views (worktree 5322cdb),"no (ridge trace score; gradients through R_f, R_g, P_fg)","direct endpoint operator in gradient, no EMA, no stop-grad (paper_ arms assert this)",2026-09-15 03:42,9f4580c,1,57.39,
gate1_20260914_bifurc_30k_oldcode_5322cdb,paper_composition__seed3,paper_composition,3,complete,cifar10,30000,5,"truncated inverse roots, tau 0.001",,ridge-1e-3 trace score on mean of views (worktree 5322cdb),"no (ridge trace score; gradients through R_f, R_g, P_fg)","direct endpoint operator in gradient, no EMA, no stop-grad (paper_ arms assert this)",2026-09-15 03:46,9f4580c,1,56.68,
gate1_20260914_bifurc_45k,paper_composition__seed1,paper_composition,1,complete,cifar10,45000,5,"truncated inverse roots, tau 0.001",,truncated whiteners on pair-specific Grams (02fa55e and later),yes (gram_detach_metric default True),"direct endpoint operator in gradient, no EMA, no stop-grad (paper_ arms assert this)",2026-09-14 23:19,27c8dc9,1,56.39,blockwise_profile.json
gate1_20260914_bifurc_45k,paper_composition__seed2,paper_composition,2,complete,cifar10,45000,5,"truncated inverse roots, tau 0.001",,truncated whiteners on pair-specific Grams (02fa55e and later),yes (gram_detach_metric default True),"direct endpoint operator in gradient, no EMA, no stop-grad (paper_ arms assert this)",2026-09-14 23:19,27c8dc9,1,56.15,blockwise_profile.json
gate1_20260914_bifurc_45k,paper_composition__seed3,paper_composition,3,complete,cifar10,45000,5,"truncated inverse roots, tau 0.001",,truncated whiteners on pair-specific Grams (02fa55e and later),yes (gram_detach_metric default True),"direct endpoint operator in gradient, no EMA, no stop-grad (paper_ arms assert this)",2026-09-14 23:19,27c8dc9,1,56.26,blockwise_profile.json
gate1_20260914_bifurc_45k_oldcode_5322cdb,paper_composition__seed1,paper_composition,1,complete,cifar10,45000,5,"truncated inverse roots, tau 0.001",,ridge-1e-3 trace score on mean of views (worktree 5322cdb),"no (ridge trace score; gradients through R_f, R_g, P_fg)","direct endpoint operator in gradient, no EMA, no stop-grad (paper_ arms assert this)",2026-09-15 03:52,9f4580c,1,58.13,
gate1_20260914_bifurc_45k_oldcode_5322cdb,paper_composition__seed2,paper_composition,2,complete,cifar10,45000,5,"truncated inverse roots, tau 0.001",,ridge-1e-3 trace score on mean of views (worktree 5322cdb),"no (ridge trace score; gradients through R_f, R_g, P_fg)","direct endpoint operator in gradient, no EMA, no stop-grad (paper_ arms assert this)",2026-09-15 03:59,9f4580c,1,58.31,
gate1_20260914_bifurc_45k_oldcode_5322cdb,paper_composition__seed3,paper_composition,3,complete,cifar10,45000,5,"truncated inverse roots, tau 0.001",,ridge-1e-3 trace score on mean of views (worktree 5322cdb),"no (ridge trace score; gradients through R_f, R_g, P_fg)","direct endpoint operator in gradient, no EMA, no stop-grad (paper_ arms assert this)",2026-09-15 04:06,9f4580c,1,58.97,
