dataset,arm,measure,n,mean,sd,min,max
cifar100,paired full - beta0 (same seed),stage2,3,1.27,0.4613,0.83,1.75
cifar100,paired full - beta0 (same seed),stage3,3,0.43,0.4952,-0.13,0.81
cifar100,paired full - beta0 (same seed),stage4,3,0.9867,0.1401,0.83,1.1
cifar100,paired full - beta0 (same seed),sgd,3,0.65,0.5951,0.06,1.25
cifar100,paired full - beta0 (same seed),knn,3,-0.14,0.6811,-0.89,0.44
cifar10,full_beta128_rep14sep_epoch20,stage1,3,52.9667,1.1897,52.25,54.34
cifar10,full_beta128_rep14sep_epoch20,stage2,3,64.0433,3.5134,61.77,68.09
cifar10,full_beta128_rep14sep_epoch20,stage3,3,68.53,2.0579,67.05,70.88
cifar10,full_beta128_rep14sep_epoch20,stage4,3,68.81,1.7586,67.62,70.83
cifar10,beta0_rep14sep_epoch20,stage1,3,56.4267,0.3955,56.11,56.87
cifar10,beta0_rep14sep_epoch20,stage2,3,67.4233,0.3557,67.11,67.81
cifar10,beta0_rep14sep_epoch20,stage3,3,69.49,0.6365,68.83,70.1
cifar10,beta0_rep14sep_epoch20,stage4,3,69.26,0.9642,68.15,69.89
cifar10,"paired full - beta0 (same seed), 14-Sep replication, epoch20",stage1,3,-3.46,1.4856,-4.56,-1.77
cifar10,"paired full - beta0 (same seed), 14-Sep replication, epoch20",stage2,3,-3.38,3.8063,-6.04,0.98
cifar10,"paired full - beta0 (same seed), 14-Sep replication, epoch20",stage3,3,-0.96,2.019,-2.44,1.34
cifar10,"paired full - beta0 (same seed), 14-Sep replication, epoch20",stage4,3,-0.45,1.6974,-2.27,1.09
cifar10,full_beta128_rep14sep_epoch200,stage1,3,58.4133,1.3834,57.46,60.0
cifar10,full_beta128_rep14sep_epoch200,stage2,3,79.0533,1.651,77.72,80.9
cifar10,full_beta128_rep14sep_epoch200,stage3,3,84.9767,0.7158,84.2,85.61
cifar10,full_beta128_rep14sep_epoch200,stage4,3,84.8133,1.0179,83.65,85.54
cifar10,beta0_rep14sep_epoch200,stage1,3,60.14,0.4258,59.78,60.61
cifar10,beta0_rep14sep_epoch200,stage2,3,79.71,0.19,79.55,79.92
cifar10,beta0_rep14sep_epoch200,stage3,3,83.7667,0.0929,83.66,83.83
cifar10,beta0_rep14sep_epoch200,stage4,3,83.3567,0.1701,83.19,83.53
cifar10,"paired full - beta0 (same seed), 14-Sep replication, epoch200",stage1,3,-1.7267,0.9677,-2.32,-0.61
cifar10,"paired full - beta0 (same seed), 14-Sep replication, epoch200",stage2,3,-0.6567,1.747,-2.2,1.24
cifar10,"paired full - beta0 (same seed), 14-Sep replication, epoch200",stage3,3,1.21,0.626,0.54,1.78
cifar10,"paired full - beta0 (same seed), 14-Sep replication, epoch200",stage4,3,1.4567,1.1594,0.12,2.19
cifar10,full_beta128_rep14sep_epoch200,sgd,3,84.81,0.7804,83.91,85.3
cifar10,full_beta128_rep14sep_epoch200,knn,3,82.5667,0.7032,81.76,83.05
cifar10,beta0_rep14sep_epoch200,sgd,3,83.4733,0.0924,83.42,83.58
cifar10,beta0_rep14sep_epoch200,knn,3,81.1333,0.0833,81.04,81.2
cifar10,"paired full - beta0 (same seed), 14-Sep replication, epoch200",sgd,3,1.3367,0.8727,0.33,1.88
cifar100,full_beta128_rep14sep_epoch20,stage1,3,29.96,0.2307,29.7,30.14
cifar100,full_beta128_rep14sep_epoch20,stage2,3,43.49,0.5257,42.89,43.87
cifar100,full_beta128_rep14sep_epoch20,stage3,3,45.9733,0.717,45.15,46.46
cifar100,full_beta128_rep14sep_epoch20,stage4,3,44.5533,0.4532,44.03,44.82
cifar100,beta0_rep14sep_epoch20,stage1,3,30.28,0.4351,29.84,30.71
cifar100,beta0_rep14sep_epoch20,stage2,3,41.2167,0.485,40.73,41.7
cifar100,beta0_rep14sep_epoch20,stage3,3,42.8333,1.2002,41.78,44.14
cifar100,beta0_rep14sep_epoch20,stage4,3,41.8633,1.1835,40.77,43.12
cifar100,"paired full - beta0 (same seed), 14-Sep replication, epoch20",stage1,3,-0.32,0.6578,-1.01,0.3
cifar100,"paired full - beta0 (same seed), 14-Sep replication, epoch20",stage2,3,2.2733,0.9526,1.19,2.98
cifar100,"paired full - beta0 (same seed), 14-Sep replication, epoch20",stage3,3,3.14,1.873,1.01,4.53
cifar100,"paired full - beta0 (same seed), 14-Sep replication, epoch20",stage4,3,2.69,1.6116,0.91,4.05
cifar100,full_beta128_rep14sep_epoch200,stage1,3,33.5433,0.4028,33.09,33.86
cifar100,full_beta128_rep14sep_epoch200,stage2,3,55.0967,0.2658,54.82,55.35
cifar100,full_beta128_rep14sep_epoch200,stage3,3,59.0333,0.5121,58.55,59.57
cifar100,full_beta128_rep14sep_epoch200,stage4,3,56.06,0.296,55.72,56.26
cifar100,beta0_rep14sep_epoch200,stage1,3,33.6533,0.5132,33.22,34.22
cifar100,beta0_rep14sep_epoch200,stage2,3,53.9,0.13,53.75,53.98
cifar100,beta0_rep14sep_epoch200,stage3,3,58.14,0.5246,57.66,58.7
cifar100,beta0_rep14sep_epoch200,stage4,3,55.0567,0.2136,54.9,55.3
cifar100,"paired full - beta0 (same seed), 14-Sep replication, epoch200",stage1,3,-0.11,0.8854,-1.13,0.46
cifar100,"paired full - beta0 (same seed), 14-Sep replication, epoch200",stage2,3,1.1967,0.3821,0.84,1.6
cifar100,"paired full - beta0 (same seed), 14-Sep replication, epoch200",stage3,3,0.8933,0.9085,-0.15,1.51
cifar100,"paired full - beta0 (same seed), 14-Sep replication, epoch200",stage4,3,1.0033,0.2084,0.82,1.23
cifar100,full_beta128_rep14sep_epoch200,sgd,3,55.9067,0.4072,55.44,56.19
cifar100,full_beta128_rep14sep_epoch200,knn,3,49.9933,0.1343,49.84,50.09
cifar100,beta0_rep14sep_epoch200,sgd,3,55.1833,0.3807,54.79,55.55
cifar100,beta0_rep14sep_epoch200,knn,3,49.9467,0.7147,49.33,50.73
cifar100,"paired full - beta0 (same seed), 14-Sep replication, epoch200",sgd,3,0.7233,0.5398,0.23,1.3
