dataset,method,objective,images_optimized,epochs,backbone,feature_layer,projection,evaluator,accuracy_fraction,accuracy_percent,model_id,train_code_commit,eval_code,seed,group_n,group_mean_pct,group_sd_pct,group_min_pct,group_max_pct,note
cifar10,SimCLR (lr 0.1),"NT-Xent, temperature 0.5",45000,200,CIFAR ResNet-18,"layer3 (Stage 3, pooled after stage)",2048 hidden BN -> 128,"stagewise standardized multinomial logistic regression, LBFGS<=200, wd 1e-4, fit on 50000 train, scored on 10000 test; baseline_layerwise_v1",0.8223999738693237,82.24,/projects/EEG-foundation-model/yinghao/FMCA-AV/experiment_runs/sslreflr_simclr_lr0.1_seed2/checkpoints/epoch-0200.ckpt,"e537490 (seed1) / 9f4580c (seeds 2,3)",convex_probe md5 fc9e0f8b16a10876c67b4882a5f159eb (unchanged 8637c7e..ae02ffe),replicate 2 (config seed 20260850),3,82.06,0.23,81.81,82.24,
cifar10,SimCLR (lr 0.1),"NT-Xent, temperature 0.5",45000,200,CIFAR ResNet-18,"layer4 (Stage 4, pooled after stage)",2048 hidden BN -> 128,"stagewise standardized multinomial logistic regression, LBFGS<=200, wd 1e-4, fit on 50000 train, scored on 10000 test; baseline_layerwise_v1",0.863599956035614,86.36,/projects/EEG-foundation-model/yinghao/FMCA-AV/experiment_runs/sslreflr_simclr_lr0.1_seed1/checkpoints/epoch-0200.ckpt,"e537490 (seed1) / 9f4580c (seeds 2,3)",convex_probe md5 fc9e0f8b16a10876c67b4882a5f159eb (unchanged 8637c7e..ae02ffe),replicate 1 (config seed 20260850),3,86.2,0.16,86.05,86.36,
cifar10,Barlow Twins (lr 0.1),"Barlow Twins, lambda 0.0051",45000,200,CIFAR ResNet-18,"layer1 (Stage 1, pooled after stage)",2048-2048 hidden BN -> 2048,"stagewise standardized multinomial logistic regression, LBFGS<=200, wd 1e-4, fit on 50000 train, scored on 10000 test; baseline_layerwise_v1",0.5662999749183655,56.63,/projects/EEG-foundation-model/yinghao/FMCA-AV/experiment_runs/sslreflr_barlow_twins_lr0.1_seed2/checkpoints/epoch-0200.ckpt,e537490 / 9f4580c,convex_probe md5 fc9e0f8b16a10876c67b4882a5f159eb (unchanged 8637c7e..ae02ffe),replicate 2 (config seed 20260850),3,56.05,0.68,55.3,56.63,
cifar10,Barlow Twins (lr 0.1),"Barlow Twins, lambda 0.0051",45000,200,CIFAR ResNet-18,"layer2 (Stage 2, pooled after stage)",2048-2048 hidden BN -> 2048,"stagewise standardized multinomial logistic regression, LBFGS<=200, wd 1e-4, fit on 50000 train, scored on 10000 test; baseline_layerwise_v1",0.6825000047683716,68.25,/projects/EEG-foundation-model/yinghao/FMCA-AV/experiment_runs/sslreflr_barlow_twins_lr0.1_seed2/checkpoints/epoch-0200.ckpt,e537490 / 9f4580c,convex_probe md5 fc9e0f8b16a10876c67b4882a5f159eb (unchanged 8637c7e..ae02ffe),replicate 2 (config seed 20260850),3,67.74,0.47,67.31,68.25,
cifar10,Barlow Twins (lr 0.1),"Barlow Twins, lambda 0.0051",45000,200,CIFAR ResNet-18,"layer3 (Stage 3, pooled after stage)",2048-2048 hidden BN -> 2048,"stagewise standardized multinomial logistic regression, LBFGS<=200, wd 1e-4, fit on 50000 train, scored on 10000 test; baseline_layerwise_v1",0.8255999684333801,82.56,/projects/EEG-foundation-model/yinghao/FMCA-AV/experiment_runs/sslreflr_barlow_twins_lr0.1_seed3/checkpoints/epoch-0200.ckpt,e537490 / 9f4580c,convex_probe md5 fc9e0f8b16a10876c67b4882a5f159eb (unchanged 8637c7e..ae02ffe),replicate 3 (config seed 20260850),3,82.49,0.07,82.43,82.56,
cifar10,Barlow Twins (lr 0.1),"Barlow Twins, lambda 0.0051",45000,200,CIFAR ResNet-18,"layer4 (Stage 4, pooled after stage)",2048-2048 hidden BN -> 2048,"stagewise standardized multinomial logistic regression, LBFGS<=200, wd 1e-4, fit on 50000 train, scored on 10000 test; baseline_layerwise_v1",0.8772000074386597,87.72,/projects/EEG-foundation-model/yinghao/FMCA-AV/experiment_runs/sslreflr_barlow_twins_lr0.1_seed1/checkpoints/epoch-0200.ckpt,e537490 / 9f4580c,convex_probe md5 fc9e0f8b16a10876c67b4882a5f159eb (unchanged 8637c7e..ae02ffe),replicate 1 (config seed 20260850),3,87.51,0.18,87.4,87.72,
cifar10,VICReg (lr 0.3),VICReg 25/25/1,45000,200,CIFAR ResNet-18,"layer1 (Stage 1, pooled after stage)",2048-2048 hidden BN -> 2048,"stagewise standardized multinomial logistic regression, LBFGS<=200, wd 1e-4, fit on 50000 train, scored on 10000 test; baseline_layerwise_v1",0.5645999908447266,56.46,/projects/EEG-foundation-model/yinghao/FMCA-AV/experiment_runs/sslreflr_vicreg_lr0.3_seed2/checkpoints/epoch-0200.ckpt,e537490 / 9f4580c,convex_probe md5 fc9e0f8b16a10876c67b4882a5f159eb (unchanged 8637c7e..ae02ffe),replicate 2 (config seed 20260850),3,56.07,0.4,55.67,56.46,
cifar10,VICReg (lr 0.3),VICReg 25/25/1,45000,200,CIFAR ResNet-18,"layer2 (Stage 2, pooled after stage)",2048-2048 hidden BN -> 2048,"stagewise standardized multinomial logistic regression, LBFGS<=200, wd 1e-4, fit on 50000 train, scored on 10000 test; baseline_layerwise_v1",0.6785999536514282,67.86,/projects/EEG-foundation-model/yinghao/FMCA-AV/experiment_runs/sslreflr_vicreg_lr0.3_seed3/checkpoints/epoch-0200.ckpt,e537490 / 9f4580c,convex_probe md5 fc9e0f8b16a10876c67b4882a5f159eb (unchanged 8637c7e..ae02ffe),replicate 3 (config seed 20260850),3,67.47,0.43,67.0,67.86,
cifar10,VICReg (lr 0.3),VICReg 25/25/1,45000,200,CIFAR ResNet-18,"layer3 (Stage 3, pooled after stage)",2048-2048 hidden BN -> 2048,"stagewise standardized multinomial logistic regression, LBFGS<=200, wd 1e-4, fit on 50000 train, scored on 10000 test; baseline_layerwise_v1",0.8353999853134155,83.54,/projects/EEG-foundation-model/yinghao/FMCA-AV/experiment_runs/sslreflr_vicreg_lr0.3_seed2/checkpoints/epoch-0200.ckpt,e537490 / 9f4580c,convex_probe md5 fc9e0f8b16a10876c67b4882a5f159eb (unchanged 8637c7e..ae02ffe),replicate 2 (config seed 20260850),3,83.28,0.39,82.84,83.54,
cifar10,VICReg (lr 0.3),VICReg 25/25/1,45000,200,CIFAR ResNet-18,"layer4 (Stage 4, pooled after stage)",2048-2048 hidden BN -> 2048,"stagewise standardized multinomial logistic regression, LBFGS<=200, wd 1e-4, fit on 50000 train, scored on 10000 test; baseline_layerwise_v1",0.8860999941825867,88.61,/projects/EEG-foundation-model/yinghao/FMCA-AV/experiment_runs/sslreflr_vicreg_lr0.3_seed2/checkpoints/epoch-0200.ckpt,e537490 / 9f4580c,convex_probe md5 fc9e0f8b16a10876c67b4882a5f159eb (unchanged 8637c7e..ae02ffe),replicate 2 (config seed 20260850),3,88.41,0.19,88.23,88.61,
cifar10,MoCo v2 (lr 0.3),"MoCo v2, momentum 0.999, temperature 0.2, queue 4096",45000,200,CIFAR ResNet-18,"layer1 (Stage 1, pooled after stage)",2048 hidden BN -> 128,"stagewise standardized multinomial logistic regression, LBFGS<=200, wd 1e-4, fit on 50000 train, scored on 10000 test; baseline_layerwise_v1",0.5539999604225159,55.4,/projects/EEG-foundation-model/yinghao/FMCA-AV/experiment_runs/sslreflr_moco_v2_lr0.3_seed1/checkpoints/epoch-0200.ckpt,e537490 / 9f4580c,convex_probe md5 fc9e0f8b16a10876c67b4882a5f159eb (unchanged 8637c7e..ae02ffe),replicate 1 (config seed 20260850),3,54.84,0.9,53.8,55.4,
cifar10,MoCo v2 (lr 0.3),"MoCo v2, momentum 0.999, temperature 0.2, queue 4096",45000,200,CIFAR ResNet-18,"layer2 (Stage 2, pooled after stage)",2048 hidden BN -> 128,"stagewise standardized multinomial logistic regression, LBFGS<=200, wd 1e-4, fit on 50000 train, scored on 10000 test; baseline_layerwise_v1",0.6488999724388123,64.89,/projects/EEG-foundation-model/yinghao/FMCA-AV/experiment_runs/sslreflr_moco_v2_lr0.3_seed3/checkpoints/epoch-0200.ckpt,e537490 / 9f4580c,convex_probe md5 fc9e0f8b16a10876c67b4882a5f159eb (unchanged 8637c7e..ae02ffe),replicate 3 (config seed 20260850),3,64.72,0.15,64.6,64.89,
cifar10,MoCo v2 (lr 0.3),"MoCo v2, momentum 0.999, temperature 0.2, queue 4096",45000,200,CIFAR ResNet-18,"layer3 (Stage 3, pooled after stage)",2048 hidden BN -> 128,"stagewise standardized multinomial logistic regression, LBFGS<=200, wd 1e-4, fit on 50000 train, scored on 10000 test; baseline_layerwise_v1",0.784500002861023,78.45,/projects/EEG-foundation-model/yinghao/FMCA-AV/experiment_runs/sslreflr_moco_v2_lr0.3_seed3/checkpoints/epoch-0200.ckpt,e537490 / 9f4580c,convex_probe md5 fc9e0f8b16a10876c67b4882a5f159eb (unchanged 8637c7e..ae02ffe),replicate 3 (config seed 20260850),3,78.39,0.08,78.3,78.45,
cifar10,MoCo v2 (lr 0.3),"MoCo v2, momentum 0.999, temperature 0.2, queue 4096",45000,200,CIFAR ResNet-18,"layer4 (Stage 4, pooled after stage)",2048 hidden BN -> 128,"stagewise standardized multinomial logistic regression, LBFGS<=200, wd 1e-4, fit on 50000 train, scored on 10000 test; baseline_layerwise_v1",0.8384000062942505,83.84,/projects/EEG-foundation-model/yinghao/FMCA-AV/experiment_runs/sslreflr_moco_v2_lr0.3_seed3/checkpoints/epoch-0200.ckpt,e537490 / 9f4580c,convex_probe md5 fc9e0f8b16a10876c67b4882a5f159eb (unchanged 8637c7e..ae02ffe),replicate 3 (config seed 20260850),3,83.66,0.22,83.42,83.84,
cifar10,FastSiam (lr 0.03),"FastSiam, 4 views, mean-of-other-views target",45000,200,CIFAR ResNet-18,"layer1 (Stage 1, pooled after stage)",2048-2048 BN -> 2048; predictor 512,"stagewise standardized multinomial logistic regression, LBFGS<=200, wd 1e-4, fit on 50000 train, scored on 10000 test; baseline_layerwise_v1",0.5557999610900879,55.58,/projects/EEG-foundation-model/yinghao/FMCA-AV/experiment_runs/sslref_fastsiam_seed3/checkpoints/epoch-0200.ckpt,523feab,convex_probe md5 fc9e0f8b16a10876c67b4882a5f159eb (unchanged 8637c7e..ae02ffe),replicate 3 (config seed 20260850),3,55.55,0.05,55.49,55.58,
cifar10,FastSiam (lr 0.03),"FastSiam, 4 views, mean-of-other-views target",45000,200,CIFAR ResNet-18,"layer2 (Stage 2, pooled after stage)",2048-2048 BN -> 2048; predictor 512,"stagewise standardized multinomial logistic regression, LBFGS<=200, wd 1e-4, fit on 50000 train, scored on 10000 test; baseline_layerwise_v1",0.6541999578475952,65.42,/projects/EEG-foundation-model/yinghao/FMCA-AV/experiment_runs/sslref_fastsiam_seed3/checkpoints/epoch-0200.ckpt,523feab,convex_probe md5 fc9e0f8b16a10876c67b4882a5f159eb (unchanged 8637c7e..ae02ffe),replicate 3 (config seed 20260850),3,65.11,0.43,64.62,65.42,
cifar10,FastSiam (lr 0.03),"FastSiam, 4 views, mean-of-other-views target",45000,200,CIFAR ResNet-18,"layer3 (Stage 3, pooled after stage)",2048-2048 BN -> 2048; predictor 512,"stagewise standardized multinomial logistic regression, LBFGS<=200, wd 1e-4, fit on 50000 train, scored on 10000 test; baseline_layerwise_v1",0.7277999520301819,72.78,/projects/EEG-foundation-model/yinghao/FMCA-AV/experiment_runs/sslref_fastsiam_seed3/checkpoints/epoch-0200.ckpt,523feab,convex_probe md5 fc9e0f8b16a10876c67b4882a5f159eb (unchanged 8637c7e..ae02ffe),replicate 3 (config seed 20260850),3,72.72,0.09,72.62,72.78,
cifar10,FastSiam (lr 0.03),"FastSiam, 4 views, mean-of-other-views target",45000,200,CIFAR ResNet-18,"layer4 (Stage 4, pooled after stage)",2048-2048 BN -> 2048; predictor 512,"stagewise standardized multinomial logistic regression, LBFGS<=200, wd 1e-4, fit on 50000 train, scored on 10000 test; baseline_layerwise_v1",0.7558000087738037,75.58,/projects/EEG-foundation-model/yinghao/FMCA-AV/experiment_runs/sslref_fastsiam_seed1/checkpoints/epoch-0200.ckpt,523feab,convex_probe md5 fc9e0f8b16a10876c67b4882a5f159eb (unchanged 8637c7e..ae02ffe),replicate 1 (config seed 20260850),3,75.49,0.13,75.35,75.58,
cifar10,SimSiam (lr 0.03),SimSiam,45000,200,CIFAR ResNet-18,"layer1 (Stage 1, pooled after stage)",2048-2048 BN -> 2048; predictor 512,"stagewise standardized multinomial logistic regression, LBFGS<=200, wd 1e-4, fit on 50000 train, scored on 10000 test; baseline_layerwise_v1",0.5543999671936035,55.44,/projects/EEG-foundation-model/yinghao/FMCA-AV/experiment_runs/sslref_simsiam_seed1/checkpoints/epoch-0200.ckpt,523feab,convex_probe md5 fc9e0f8b16a10876c67b4882a5f159eb (unchanged 8637c7e..ae02ffe),replicate 1 (config seed 20260850),3,55.33,0.13,55.19,55.44,
cifar10,SimSiam (lr 0.03),SimSiam,45000,200,CIFAR ResNet-18,"layer2 (Stage 2, pooled after stage)",2048-2048 BN -> 2048; predictor 512,"stagewise standardized multinomial logistic regression, LBFGS<=200, wd 1e-4, fit on 50000 train, scored on 10000 test; baseline_layerwise_v1",0.6486999988555908,64.87,/projects/EEG-foundation-model/yinghao/FMCA-AV/experiment_runs/sslref_simsiam_seed2/checkpoints/epoch-0200.ckpt,523feab,convex_probe md5 fc9e0f8b16a10876c67b4882a5f159eb (unchanged 8637c7e..ae02ffe),replicate 2 (config seed 20260850),3,64.45,0.37,64.22,64.87,
cifar10,SimSiam (lr 0.03),SimSiam,45000,200,CIFAR ResNet-18,"layer3 (Stage 3, pooled after stage)",2048-2048 BN -> 2048; predictor 512,"stagewise standardized multinomial logistic regression, LBFGS<=200, wd 1e-4, fit on 50000 train, scored on 10000 test; baseline_layerwise_v1",0.7254999876022339,72.55,/projects/EEG-foundation-model/yinghao/FMCA-AV/experiment_runs/sslref_simsiam_seed1/checkpoints/epoch-0200.ckpt,523feab,convex_probe md5 fc9e0f8b16a10876c67b4882a5f159eb (unchanged 8637c7e..ae02ffe),replicate 1 (config seed 20260850),3,72.02,0.46,71.73,72.55,
cifar10,SimSiam (lr 0.03),SimSiam,45000,200,CIFAR ResNet-18,"layer4 (Stage 4, pooled after stage)",2048-2048 BN -> 2048; predictor 512,"stagewise standardized multinomial logistic regression, LBFGS<=200, wd 1e-4, fit on 50000 train, scored on 10000 test; baseline_layerwise_v1",0.7475000023841858,74.75,/projects/EEG-foundation-model/yinghao/FMCA-AV/experiment_runs/sslref_simsiam_seed1/checkpoints/epoch-0200.ckpt,523feab,convex_probe md5 fc9e0f8b16a10876c67b4882a5f159eb (unchanged 8637c7e..ae02ffe),replicate 1 (config seed 20260850),3,74.34,0.35,74.11,74.75,
cifar10,BYOL reference recipe (lr 0.03),"BYOL, EMA 0.996",45000,200,CIFAR ResNet-18,"layer1 (Stage 1, pooled after stage)",4096 BN -> 256; predictor 4096 BN,"stagewise standardized multinomial logistic regression, LBFGS<=200, wd 1e-4, fit on 50000 train, scored on 10000 test; baseline_layerwise_v1",0.5523999929428101,55.24,/projects/EEG-foundation-model/yinghao/FMCA-AV/experiment_runs/sslref_byol_seed1/checkpoints/epoch-0200.ckpt,a4eafc2,convex_probe md5 fc9e0f8b16a10876c67b4882a5f159eb (unchanged 8637c7e..ae02ffe),replicate 1 (config seed 20260850),3,55.03,0.33,54.65,55.24,
cifar10,BYOL reference recipe (lr 0.03),"BYOL, EMA 0.996",45000,200,CIFAR ResNet-18,"layer2 (Stage 2, pooled after stage)",4096 BN -> 256; predictor 4096 BN,"stagewise standardized multinomial logistic regression, LBFGS<=200, wd 1e-4, fit on 50000 train, scored on 10000 test; baseline_layerwise_v1",0.6394000053405762,63.94,/projects/EEG-foundation-model/yinghao/FMCA-AV/experiment_runs/sslref_byol_seed3/checkpoints/epoch-0200.ckpt,a4eafc2,convex_probe md5 fc9e0f8b16a10876c67b4882a5f159eb (unchanged 8637c7e..ae02ffe),replicate 3 (config seed 20260850),3,63.56,0.4,63.15,63.94,
cifar10,BYOL reference recipe (lr 0.03),"BYOL, EMA 0.996",45000,200,CIFAR ResNet-18,"layer3 (Stage 3, pooled after stage)",4096 BN -> 256; predictor 4096 BN,"stagewise standardized multinomial logistic regression, LBFGS<=200, wd 1e-4, fit on 50000 train, scored on 10000 test; baseline_layerwise_v1",0.702299952507019,70.23,/projects/EEG-foundation-model/yinghao/FMCA-AV/experiment_runs/sslref_byol_seed2/checkpoints/epoch-0200.ckpt,a4eafc2,convex_probe md5 fc9e0f8b16a10876c67b4882a5f159eb (unchanged 8637c7e..ae02ffe),replicate 2 (config seed 20260850),3,70.11,0.19,69.89,70.23,
cifar10,BYOL reference recipe (lr 0.03),"BYOL, EMA 0.996",45000,200,CIFAR ResNet-18,"layer4 (Stage 4, pooled after stage)",4096 BN -> 256; predictor 4096 BN,"stagewise standardized multinomial logistic regression, LBFGS<=200, wd 1e-4, fit on 50000 train, scored on 10000 test; baseline_layerwise_v1",0.7394999861717224,73.95,/projects/EEG-foundation-model/yinghao/FMCA-AV/experiment_runs/sslref_byol_seed3/checkpoints/epoch-0200.ckpt,a4eafc2,convex_probe md5 fc9e0f8b16a10876c67b4882a5f159eb (unchanged 8637c7e..ae02ffe),replicate 3 (config seed 20260850),3,73.34,0.54,72.91,73.95,
cifar10,BYOL old-template projector + BN (lr 0.03),"BYOL, EMA 0.996",45000,200,CIFAR ResNet-18,"layer1 (Stage 1, pooled after stage)",512-512 BN (old template); predictor 512,"stagewise standardized multinomial logistic regression, LBFGS<=200, wd 1e-4, fit on 50000 train, scored on 10000 test; baseline_layerwise_v1",0.5591999888420105,55.92,/projects/EEG-foundation-model/yinghao/FMCA-AV/experiment_runs/sslmatched_byolbn_seed3/checkpoints/last.ckpt,see manifest,convex_probe md5 fc9e0f8b16a10876c67b4882a5f159eb (unchanged 8637c7e..ae02ffe),replicate 3 (config seed 20260850),3,55.28,0.61,54.7,55.92,
cifar10,BYOL old-template projector + BN (lr 0.03),"BYOL, EMA 0.996",45000,200,CIFAR ResNet-18,"layer2 (Stage 2, pooled after stage)",512-512 BN (old template); predictor 512,"stagewise standardized multinomial logistic regression, LBFGS<=200, wd 1e-4, fit on 50000 train, scored on 10000 test; baseline_layerwise_v1",0.6451999545097351,64.52,/projects/EEG-foundation-model/yinghao/FMCA-AV/experiment_runs/sslmatched_byolbn_seed3/checkpoints/last.ckpt,see manifest,convex_probe md5 fc9e0f8b16a10876c67b4882a5f159eb (unchanged 8637c7e..ae02ffe),replicate 3 (config seed 20260850),3,64.34,0.19,64.15,64.52,
cifar10,BYOL old-template projector + BN (lr 0.03),"BYOL, EMA 0.996",45000,200,CIFAR ResNet-18,"layer3 (Stage 3, pooled after stage)",512-512 BN (old template); predictor 512,"stagewise standardized multinomial logistic regression, LBFGS<=200, wd 1e-4, fit on 50000 train, scored on 10000 test; baseline_layerwise_v1",0.7203999757766724,72.04,/projects/EEG-foundation-model/yinghao/FMCA-AV/experiment_runs/sslmatched_byolbn_seed1/checkpoints/last.ckpt,see manifest,convex_probe md5 fc9e0f8b16a10876c67b4882a5f159eb (unchanged 8637c7e..ae02ffe),replicate 1 (config seed 20260850),3,71.44,0.64,70.77,72.04,
cifar10,BYOL old-template projector + BN (lr 0.03),"BYOL, EMA 0.996",45000,200,CIFAR ResNet-18,"layer4 (Stage 4, pooled after stage)",512-512 BN (old template); predictor 512,"stagewise standardized multinomial logistic regression, LBFGS<=200, wd 1e-4, fit on 50000 train, scored on 10000 test; baseline_layerwise_v1",0.7475999593734741,74.76,/projects/EEG-foundation-model/yinghao/FMCA-AV/experiment_runs/sslmatched_byolbn_seed1/checkpoints/last.ckpt,see manifest,convex_probe md5 fc9e0f8b16a10876c67b4882a5f159eb (unchanged 8637c7e..ae02ffe),replicate 1 (config seed 20260850),3,74.27,0.7,73.46,74.76,
