epoch,step,train/cross_trace_sum,train/loss,val/closure_defect_frobenius,val/cross_trace_sum,val/loss,val_score
79,9359,272.66943359375,-272.66943359375,,,,
80,9476,272.7937927246094,-272.7937927246094,,,,
81,9593,273.0683288574219,-273.0683288574219,,,,
82,9710,272.97705078125,-272.97705078125,,,,
83,9827,273.4483947753906,-273.4483947753906,,,,
84,9944,273.7594909667969,-273.7594909667969,,,,
85,10061,273.93109130859375,-273.93109130859375,,,,
86,10178,274.2741394042969,-274.2741394042969,,,,
87,10295,274.4452819824219,-274.4452819824219,,,,
88,10412,274.4110412597656,-274.4110412597656,,,,
89,10529,,,4.14271354675293,267.1949462890625,-267.1949462890625,267.1949462890625
89,10529,275.12835693359375,-275.12835693359375,,,,
90,10646,275.1501159667969,-275.1501159667969,,,,
91,10763,275.5162353515625,-275.5162353515625,,,,
92,10880,275.8427734375,-275.8427734375,,,,
93,10997,276.037841796875,-276.037841796875,,,,
94,11114,276.4912109375,-276.4912109375,,,,
95,11231,276.52001953125,-276.52001953125,,,,
96,11348,276.38824462890625,-276.38824462890625,,,,
97,11465,276.80810546875,-276.80810546875,,,,
98,11582,276.8507080078125,-276.8507080078125,,,,
99,11699,,,4.087723255157471,269.10406494140625,-269.10406494140625,269.10406494140625
99,11699,277.01165771484375,-277.01165771484375,,,,
100,11816,277.7450866699219,-277.7450866699219,,,,
101,11933,277.5726318359375,-277.5726318359375,,,,
102,12050,277.4795227050781,-277.4795227050781,,,,
103,12167,278.144287109375,-278.144287109375,,,,
104,12284,278.1611022949219,-278.1611022949219,,,,
105,12401,277.8575744628906,-277.8575744628906,,,,
106,12518,277.9497985839844,-277.9497985839844,,,,
107,12635,278.7121276855469,-278.7121276855469,,,,
108,12752,278.5943603515625,-278.5943603515625,,,,
109,12869,,,4.081090450286865,270.5420837402344,-270.5420837402344,270.5420837402344
109,12869,279.18646240234375,-279.18646240234375,,,,
110,12986,279.5800476074219,-279.5800476074219,,,,
111,13103,279.5368957519531,-279.5368957519531,,,,
112,13220,279.2673645019531,-279.2673645019531,,,,
113,13337,279.81903076171875,-279.81903076171875,,,,
114,13454,279.9779968261719,-279.9779968261719,,,,
115,13571,280.3359680175781,-280.3359680175781,,,,
116,13688,280.2861022949219,-280.2861022949219,,,,
117,13805,280.64569091796875,-280.64569091796875,,,,
118,13922,280.0301208496094,-280.0301208496094,,,,
119,14039,,,4.084806442260742,272.1210021972656,-272.1210021972656,272.1210021972656
119,14039,281.4224548339844,-281.4224548339844,,,,
120,14156,281.2424621582031,-281.2424621582031,,,,
121,14273,281.5160827636719,-281.5160827636719,,,,
122,14390,281.5216369628906,-281.5216369628906,,,,
123,14507,281.3755798339844,-281.3755798339844,,,,
124,14624,281.8069763183594,-281.8069763183594,,,,
125,14741,282.3536682128906,-282.3536682128906,,,,
126,14858,282.6174621582031,-282.6174621582031,,,,
127,14975,282.8442077636719,-282.8442077636719,,,,
128,15092,282.4903869628906,-282.4903869628906,,,,
129,15209,,,4.044136047363281,273.55670166015625,-273.55670166015625,273.55670166015625
129,15209,282.9090881347656,-282.9090881347656,,,,
130,15326,283.07379150390625,-283.07379150390625,,,,
131,15443,283.0067138671875,-283.0067138671875,,,,
132,15560,283.0599060058594,-283.0599060058594,,,,
133,15677,283.2734069824219,-283.2734069824219,,,,
134,15794,283.6044921875,-283.6044921875,,,,
135,15911,283.852783203125,-283.852783203125,,,,
136,16028,284.4464416503906,-284.4464416503906,,,,
137,16145,284.5812072753906,-284.5812072753906,,,,
138,16262,284.78790283203125,-284.78790283203125,,,,
139,16379,,,4.018585205078125,274.96563720703125,-274.96563720703125,274.96563720703125
139,16379,284.1752014160156,-284.1752014160156,,,,
140,16496,284.67962646484375,-284.67962646484375,,,,
141,16613,284.65167236328125,-284.65167236328125,,,,
142,16730,284.5777587890625,-284.5777587890625,,,,
143,16847,284.9500732421875,-284.9500732421875,,,,
144,16964,285.22344970703125,-285.22344970703125,,,,
145,17081,285.247314453125,-285.247314453125,,,,
146,17198,285.437255859375,-285.437255859375,,,,
147,17315,285.4161376953125,-285.4161376953125,,,,
148,17432,285.50225830078125,-285.50225830078125,,,,
149,17549,,,4.004750728607178,275.6110534667969,-275.6110534667969,275.6110534667969
149,17549,285.77862548828125,-285.77862548828125,,,,
150,17666,285.9248046875,-285.9248046875,,,,
151,17783,286.2881164550781,-286.2881164550781,,,,
152,17900,286.52520751953125,-286.52520751953125,,,,
153,18017,286.0444641113281,-286.0444641113281,,,,
154,18134,286.9165344238281,-286.9165344238281,,,,
155,18251,286.3741760253906,-286.3741760253906,,,,
156,18368,286.8159484863281,-286.8159484863281,,,,
157,18485,286.903076171875,-286.903076171875,,,,
158,18602,286.9739685058594,-286.9739685058594,,,,
159,18719,,,3.990222930908203,276.1966247558594,-276.1966247558594,276.1966247558594
159,18719,287.212158203125,-287.212158203125,,,,
160,18836,287.307373046875,-287.307373046875,,,,
161,18953,287.1808776855469,-287.1808776855469,,,,
162,19070,287.21014404296875,-287.21014404296875,,,,
163,19187,287.6252746582031,-287.6252746582031,,,,
164,19304,287.80548095703125,-287.80548095703125,,,,
165,19421,287.2258605957031,-287.2258605957031,,,,
166,19538,288.0700378417969,-288.0700378417969,,,,
167,19655,288.093017578125,-288.093017578125,,,,
168,19772,288.2754211425781,-288.2754211425781,,,,
169,19889,,,3.964949607849121,277.08990478515625,-277.08990478515625,277.08990478515625
169,19889,288.05926513671875,-288.05926513671875,,,,
170,20006,287.86163330078125,-287.86163330078125,,,,
171,20123,287.81219482421875,-287.81219482421875,,,,
172,20240,288.7138366699219,-288.7138366699219,,,,
173,20357,288.47454833984375,-288.47454833984375,,,,
174,20474,288.2411804199219,-288.2411804199219,,,,
175,20591,288.8531188964844,-288.8531188964844,,,,
176,20708,288.5461730957031,-288.5461730957031,,,,
177,20825,288.7976379394531,-288.7976379394531,,,,
178,20942,288.78717041015625,-288.78717041015625,,,,
179,21059,,,3.9579105377197266,277.42437744140625,-277.42437744140625,277.42437744140625
179,21059,288.98602294921875,-288.98602294921875,,,,
180,21176,288.91357421875,-288.91357421875,,,,
181,21293,289.16845703125,-289.16845703125,,,,
182,21410,289.2892150878906,-289.2892150878906,,,,
183,21527,289.1217956542969,-289.1217956542969,,,,
184,21644,289.10125732421875,-289.10125732421875,,,,
185,21761,288.90228271484375,-288.90228271484375,,,,
186,21878,289.102294921875,-289.102294921875,,,,
187,21995,289.11822509765625,-289.11822509765625,,,,
188,22112,289.3599853515625,-289.3599853515625,,,,
189,22229,,,3.947812795639038,277.767822265625,-277.767822265625,277.767822265625
189,22229,289.1705017089844,-289.1705017089844,,,,
190,22346,289.15875244140625,-289.15875244140625,,,,
191,22463,289.5583801269531,-289.5583801269531,,,,
192,22580,288.8475646972656,-288.8475646972656,,,,
193,22697,289.5922546386719,-289.5922546386719,,,,
194,22814,289.4293212890625,-289.4293212890625,,,,
195,22931,288.9101257324219,-288.9101257324219,,,,
196,23048,289.42840576171875,-289.42840576171875,,,,
197,23165,289.75543212890625,-289.75543212890625,,,,
198,23282,288.726806640625,-288.726806640625,,,,
199,23399,,,3.9559390544891357,277.9585876464844,-277.9585876464844,277.9585876464844
199,23399,289.9119873046875,-289.9119873046875,,,,
