epoch,step,train/cross_trace_sum,train/loss,val/closure_defect_frobenius,val/cross_trace_sum,val/loss,val_score
118,20824,284.9617614746094,-284.9617614746094,,,,
119,20999,,,4.088181018829346,276.497314453125,-276.497314453125,276.497314453125
119,20999,284.81756591796875,-284.81756591796875,,,,
120,21174,284.9093322753906,-284.9093322753906,,,,
121,21349,285.10858154296875,-285.10858154296875,,,,
122,21524,285.31396484375,-285.31396484375,,,,
123,21699,285.48956298828125,-285.48956298828125,,,,
124,21874,285.58880615234375,-285.58880615234375,,,,
125,22049,286.1962585449219,-286.1962585449219,,,,
126,22224,286.00030517578125,-286.00030517578125,,,,
127,22399,285.8865051269531,-285.8865051269531,,,,
128,22574,286.1613464355469,-286.1613464355469,,,,
129,22749,,,4.061758518218994,277.7944641113281,-277.7944641113281,277.7944641113281
129,22749,286.5245666503906,-286.5245666503906,,,,
130,22924,286.62646484375,-286.62646484375,,,,
131,23099,287.03680419921875,-287.03680419921875,,,,
132,23274,286.8706359863281,-286.8706359863281,,,,
133,23449,287.2794494628906,-287.2794494628906,,,,
134,23624,287.50823974609375,-287.50823974609375,,,,
135,23799,287.4982604980469,-287.4982604980469,,,,
136,23974,287.4219970703125,-287.4219970703125,,,,
137,24149,287.4836730957031,-287.4836730957031,,,,
138,24324,287.7836608886719,-287.7836608886719,,,,
139,24499,,,4.020011901855469,278.11016845703125,-278.11016845703125,278.11016845703125
139,24499,288.2198791503906,-288.2198791503906,,,,
140,24674,288.0408630371094,-288.0408630371094,,,,
141,24849,288.1016845703125,-288.1016845703125,,,,
142,25024,288.3633728027344,-288.3633728027344,,,,
143,25199,288.8272399902344,-288.8272399902344,,,,
144,25374,289.0927429199219,-289.0927429199219,,,,
145,25549,288.80584716796875,-288.80584716796875,,,,
146,25724,288.87518310546875,-288.87518310546875,,,,
147,25899,289.3450622558594,-289.3450622558594,,,,
148,26074,289.3780212402344,-289.3780212402344,,,,
149,26249,,,4.008336544036865,279.5783386230469,-279.5783386230469,279.5783386230469
149,26249,289.4698486328125,-289.4698486328125,,,,
150,26424,289.3702087402344,-289.3702087402344,,,,
151,26599,289.7546081542969,-289.7546081542969,,,,
152,26774,289.7774353027344,-289.7774353027344,,,,
153,26949,289.83465576171875,-289.83465576171875,,,,
154,27124,289.74786376953125,-289.74786376953125,,,,
155,27299,290.0730285644531,-290.0730285644531,,,,
156,27474,289.9809875488281,-289.9809875488281,,,,
157,27649,290.4019775390625,-290.4019775390625,,,,
158,27824,290.5697021484375,-290.5697021484375,,,,
159,27999,,,4.0047993659973145,280.37823486328125,-280.37823486328125,280.37823486328125
159,27999,290.6433410644531,-290.6433410644531,,,,
160,28174,290.9609680175781,-290.9609680175781,,,,
161,28349,290.9084167480469,-290.9084167480469,,,,
162,28524,291.1699523925781,-291.1699523925781,,,,
163,28699,291.2227783203125,-291.2227783203125,,,,
164,28874,291.25067138671875,-291.25067138671875,,,,
165,29049,291.4826965332031,-291.4826965332031,,,,
166,29224,291.5113525390625,-291.5113525390625,,,,
167,29399,291.8973693847656,-291.8973693847656,,,,
168,29574,291.1644287109375,-291.1644287109375,,,,
169,29749,,,3.9896585941314697,281.1816101074219,-281.1816101074219,281.1816101074219
169,29749,291.79046630859375,-291.79046630859375,,,,
170,29924,291.42889404296875,-291.42889404296875,,,,
171,30099,291.86236572265625,-291.86236572265625,,,,
172,30274,291.6840515136719,-291.6840515136719,,,,
173,30449,292.0128173828125,-292.0128173828125,,,,
174,30624,291.9090881347656,-291.9090881347656,,,,
175,30799,292.25262451171875,-292.25262451171875,,,,
176,30974,292.12042236328125,-292.12042236328125,,,,
177,31149,292.2743225097656,-292.2743225097656,,,,
178,31324,292.4814453125,-292.4814453125,,,,
179,31499,,,3.9758942127227783,281.77813720703125,-281.77813720703125,281.77813720703125
179,31499,292.84051513671875,-292.84051513671875,,,,
180,31674,292.7518615722656,-292.7518615722656,,,,
181,31849,292.3495178222656,-292.3495178222656,,,,
182,32024,292.9485168457031,-292.9485168457031,,,,
183,32199,292.5119323730469,-292.5119323730469,,,,
184,32374,292.887451171875,-292.887451171875,,,,
185,32549,293.03558349609375,-293.03558349609375,,,,
186,32724,292.9471130371094,-292.9471130371094,,,,
187,32899,292.55828857421875,-292.55828857421875,,,,
188,33074,292.87054443359375,-292.87054443359375,,,,
189,33249,,,3.976914405822754,281.8273010253906,-281.8273010253906,281.8273010253906
189,33249,292.8939208984375,-292.8939208984375,,,,
190,33424,293.40484619140625,-293.40484619140625,,,,
191,33599,293.013427734375,-293.013427734375,,,,
192,33774,292.8324890136719,-292.8324890136719,,,,
193,33949,292.99896240234375,-292.99896240234375,,,,
194,34124,293.00445556640625,-293.00445556640625,,,,
195,34299,293.1098327636719,-293.1098327636719,,,,
196,34474,293.37896728515625,-293.37896728515625,,,,
197,34649,292.8755798339844,-292.8755798339844,,,,
198,34824,292.9956970214844,-292.9956970214844,,,,
199,34999,,,3.967712879180908,281.87481689453125,-281.87481689453125,281.87481689453125
199,34999,292.9404602050781,-292.9404602050781,,,,
