run_id,dataset,channel,selection,k,factor_index,factor_name,accuracy_mean,accuracy_std,repeats
20260809-064913_postfix-e7-dsprites-default-seed1-probe,dsprites,default,random,4,2,scale,0.303376,0.024899073529476203,100
20260809-064913_postfix-e7-dsprites-default-seed1-probe,dsprites,default,random,4,3,orientation,0.029312,0.002804803959731455,100
20260809-064913_postfix-e7-dsprites-default-seed1-probe,dsprites,default,random,4,4,position_x,0.064892,0.0073315931819665624,100
20260809-064913_postfix-e7-dsprites-default-seed1-probe,dsprites,default,random,4,5,position_y,0.063682,0.007313255986994653,100
20260809-064913_postfix-e7-dsprites-default-seed1-probe,dsprites,default,random_rotation_first,4,0,color,1.0,0.0,20
20260809-064913_postfix-e7-dsprites-default-seed1-probe,dsprites,default,random_rotation_first,4,1,shape,0.42535999999999996,0.01203444180149973,20
20260809-064913_postfix-e7-dsprites-default-seed1-probe,dsprites,default,random_rotation_first,4,2,scale,0.30548000000000003,0.019930447482234444,20
20260809-064913_postfix-e7-dsprites-default-seed1-probe,dsprites,default,random_rotation_first,4,3,orientation,0.02862,0.002639696952303426,20
20260809-064913_postfix-e7-dsprites-default-seed1-probe,dsprites,default,random_rotation_first,4,4,position_x,0.06799999999999999,0.007940038446148469,20
20260809-064913_postfix-e7-dsprites-default-seed1-probe,dsprites,default,random_rotation_first,4,5,position_y,0.06554,0.007794491982365361,20
20260809-064913_postfix-e7-dsprites-default-seed1-probe,dsprites,default,eigen_top,8,0,color,1.0,0.0,1
20260809-064913_postfix-e7-dsprites-default-seed1-probe,dsprites,default,eigen_top,8,1,shape,0.4496,0.0,1
20260809-064913_postfix-e7-dsprites-default-seed1-probe,dsprites,default,eigen_top,8,2,scale,0.3578,0.0,1
20260809-064913_postfix-e7-dsprites-default-seed1-probe,dsprites,default,eigen_top,8,3,orientation,0.034,0.0,1
20260809-064913_postfix-e7-dsprites-default-seed1-probe,dsprites,default,eigen_top,8,4,position_x,0.0754,0.0,1
20260809-064913_postfix-e7-dsprites-default-seed1-probe,dsprites,default,eigen_top,8,5,position_y,0.0904,0.0,1
20260809-064913_postfix-e7-dsprites-default-seed1-probe,dsprites,default,eigen_bottom,8,0,color,1.0,0.0,1
20260809-064913_postfix-e7-dsprites-default-seed1-probe,dsprites,default,eigen_bottom,8,1,shape,0.4426,0.0,1
20260809-064913_postfix-e7-dsprites-default-seed1-probe,dsprites,default,eigen_bottom,8,2,scale,0.3476,0.0,1
20260809-064913_postfix-e7-dsprites-default-seed1-probe,dsprites,default,eigen_bottom,8,3,orientation,0.0308,0.0,1
20260809-064913_postfix-e7-dsprites-default-seed1-probe,dsprites,default,eigen_bottom,8,4,position_x,0.0972,0.0,1
20260809-064913_postfix-e7-dsprites-default-seed1-probe,dsprites,default,eigen_bottom,8,5,position_y,0.0862,0.0,1
20260809-064913_postfix-e7-dsprites-default-seed1-probe,dsprites,default,pca_top,8,0,color,1.0,0.0,1
20260809-064913_postfix-e7-dsprites-default-seed1-probe,dsprites,default,pca_top,8,1,shape,0.4432,0.0,1
20260809-064913_postfix-e7-dsprites-default-seed1-probe,dsprites,default,pca_top,8,2,scale,0.3678,0.0,1
20260809-064913_postfix-e7-dsprites-default-seed1-probe,dsprites,default,pca_top,8,3,orientation,0.0294,0.0,1
20260809-064913_postfix-e7-dsprites-default-seed1-probe,dsprites,default,pca_top,8,4,position_x,0.1194,0.0,1
20260809-064913_postfix-e7-dsprites-default-seed1-probe,dsprites,default,pca_top,8,5,position_y,0.1298,0.0,1
20260809-064913_postfix-e7-dsprites-default-seed1-probe,dsprites,default,unranked_first,8,0,color,1.0,0.0,1
20260809-064913_postfix-e7-dsprites-default-seed1-probe,dsprites,default,unranked_first,8,1,shape,0.4468,0.0,1
20260809-064913_postfix-e7-dsprites-default-seed1-probe,dsprites,default,unranked_first,8,2,scale,0.3668,0.0,1
20260809-064913_postfix-e7-dsprites-default-seed1-probe,dsprites,default,unranked_first,8,3,orientation,0.0308,0.0,1
20260809-064913_postfix-e7-dsprites-default-seed1-probe,dsprites,default,unranked_first,8,4,position_x,0.1082,0.0,1
20260809-064913_postfix-e7-dsprites-default-seed1-probe,dsprites,default,unranked_first,8,5,position_y,0.0808,0.0,1
20260809-064913_postfix-e7-dsprites-default-seed1-probe,dsprites,default,random,8,0,color,1.0,0.0,100
20260809-064913_postfix-e7-dsprites-default-seed1-probe,dsprites,default,random,8,1,shape,0.43544,0.009978684352866436,100
20260809-064913_postfix-e7-dsprites-default-seed1-probe,dsprites,default,random,8,2,scale,0.32939,0.016989821670754534,100
20260809-064913_postfix-e7-dsprites-default-seed1-probe,dsprites,default,random,8,3,orientation,0.031784,0.0027302539934384983,100
20260809-064913_postfix-e7-dsprites-default-seed1-probe,dsprites,default,random,8,4,position_x,0.086006,0.007290367520630121,100
20260809-064913_postfix-e7-dsprites-default-seed1-probe,dsprites,default,random,8,5,position_y,0.08428000000000001,0.007017208285437459,100
20260809-064913_postfix-e7-dsprites-default-seed1-probe,dsprites,default,random_rotation_first,8,0,color,1.0,0.0,20
20260809-064913_postfix-e7-dsprites-default-seed1-probe,dsprites,default,random_rotation_first,8,1,shape,0.4367599999999999,0.011635987733162833,20
20260809-064913_postfix-e7-dsprites-default-seed1-probe,dsprites,default,random_rotation_first,8,2,scale,0.33269000000000004,0.018626124833571508,20
20260809-064913_postfix-e7-dsprites-default-seed1-probe,dsprites,default,random_rotation_first,8,3,orientation,0.03207,0.0031073935600181234,20
20260809-064913_postfix-e7-dsprites-default-seed1-probe,dsprites,default,random_rotation_first,8,4,position_x,0.08565,0.006460527923678651,20
20260809-064913_postfix-e7-dsprites-default-seed1-probe,dsprites,default,random_rotation_first,8,5,position_y,0.08617,0.006256710082194282,20
20260809-064913_postfix-e7-dsprites-default-seed1-probe,dsprites,default,eigen_top,16,0,color,1.0,0.0,1
20260809-064913_postfix-e7-dsprites-default-seed1-probe,dsprites,default,eigen_top,16,1,shape,0.4506,0.0,1
20260809-064913_postfix-e7-dsprites-default-seed1-probe,dsprites,default,eigen_top,16,2,scale,0.3736,0.0,1
20260809-064913_postfix-e7-dsprites-default-seed1-probe,dsprites,default,eigen_top,16,3,orientation,0.0388,0.0,1
20260809-064913_postfix-e7-dsprites-default-seed1-probe,dsprites,default,eigen_top,16,4,position_x,0.102,0.0,1
20260809-064913_postfix-e7-dsprites-default-seed1-probe,dsprites,default,eigen_top,16,5,position_y,0.1214,0.0,1
20260809-064913_postfix-e7-dsprites-default-seed1-probe,dsprites,default,eigen_bottom,16,0,color,1.0,0.0,1
20260809-064913_postfix-e7-dsprites-default-seed1-probe,dsprites,default,eigen_bottom,16,1,shape,0.4504,0.0,1
20260809-064913_postfix-e7-dsprites-default-seed1-probe,dsprites,default,eigen_bottom,16,2,scale,0.3666,0.0,1
20260809-064913_postfix-e7-dsprites-default-seed1-probe,dsprites,default,eigen_bottom,16,3,orientation,0.0344,0.0,1
20260809-064913_postfix-e7-dsprites-default-seed1-probe,dsprites,default,eigen_bottom,16,4,position_x,0.113,0.0,1
20260809-064913_postfix-e7-dsprites-default-seed1-probe,dsprites,default,eigen_bottom,16,5,position_y,0.1124,0.0,1
20260809-064913_postfix-e7-dsprites-default-seed1-probe,dsprites,default,pca_top,16,0,color,1.0,0.0,1
20260809-064913_postfix-e7-dsprites-default-seed1-probe,dsprites,default,pca_top,16,1,shape,0.4508,0.0,1
20260809-064913_postfix-e7-dsprites-default-seed1-probe,dsprites,default,pca_top,16,2,scale,0.3918,0.0,1
20260809-064913_postfix-e7-dsprites-default-seed1-probe,dsprites,default,pca_top,16,3,orientation,0.0436,0.0,1
20260809-064913_postfix-e7-dsprites-default-seed1-probe,dsprites,default,pca_top,16,4,position_x,0.1568,0.0,1
20260809-064913_postfix-e7-dsprites-default-seed1-probe,dsprites,default,pca_top,16,5,position_y,0.1568,0.0,1
20260809-064913_postfix-e7-dsprites-default-seed1-probe,dsprites,default,unranked_first,16,0,color,1.0,0.0,1
20260809-064913_postfix-e7-dsprites-default-seed1-probe,dsprites,default,unranked_first,16,1,shape,0.4476,0.0,1
20260809-064913_postfix-e7-dsprites-default-seed1-probe,dsprites,default,unranked_first,16,2,scale,0.3862,0.0,1
