states,replicate,chain,lag,direct_singular_values,mae,max_error,one_step_power_prediction
8,0,directed_nonnormal,2,"[0.6688417918060352, 0.5366008523360463, 0.44450121809967713, 0.3693035010688139, 0.2977678081334187, 0.19623287684409646, 0.11531443880828875]",0.02741482908900607,0.06628067676656169,"[0.7351224685725969, 0.5409514417830178, 0.5057938198915825, 0.3886180138502127, 0.2920602432982431, 0.1799638679636315, 0.0966255896877242]"
8,0,directed_nonnormal,4,"[0.36455719080163806, 0.3025022090105163, 0.17410159831295027, 0.13896455412283018, 0.061695743395888715, 0.04690141126866158, 0.020412047082217354]",0.04695717120730441,0.1758478529986307,"[0.5404050438002688, 0.2926284623671257, 0.25582738824051854, 0.15102396068888413, 0.08529918571542894, 0.03238699377243139, 0.009336504582500434]"
8,0,directed_nonnormal,8,"[0.12368456661719751, 0.09328014438676317, 0.024144716232011997, 0.020645117278267313, 0.003031583836086841, 0.002004053553771654, 0.0007107785162264341]",0.03218441993528899,0.16835304474757284,"[0.29203761136477036, 0.0856314169873483, 0.065447652573965, 0.022808236702157623, 0.007275951083715236, 0.00104891736561551, 8.717031781905159e-05]"
8,0,directed_nonnormal,16,"[0.012146472408942672, 0.010608871253345904, 0.0005487412996468379, 0.000434424849568331, 6.183970211741074e-06, 5.274727941421381e-06, 6.155249355692431e-07]",0.011469658340143619,0.07313949404269797,"[0.08528596645164065, 0.007332739575261123, 0.004283395227442426, 0.00052021566146165, 5.293946417261692e-05, 1.1002276398897813e-06, 7.598664308674464e-09]"
8,1,reversible,2,"[0.545592482770961, 0.48967617532501584, 0.4653367880297409, 0.43195082795944706, 0.38297115708355267, 0.35187304217482274, 0.33409543048452384]",1.427429603089487e-16,4.440892098500626e-16,"[0.545592482770961, 0.4896761753250157, 0.46533678802974043, 0.4319508279594469, 0.3829711570835525, 0.35187304217482274, 0.3340954304845238]"
8,1,reversible,4,"[0.2976711572561814, 0.23978275668093565, 0.216538326293836, 0.18658151777485188, 0.14666690715791508, 0.12381463780936461, 0.11161975667063923]",1.3877787807814457e-16,3.885780586188048e-16,"[0.29767115725618126, 0.2397827566809355, 0.2165383262938356, 0.18658151777485169, 0.14666690715791506, 0.12381463780936458, 0.11161975667063928]"
8,1,reversible,8,"[0.08860811786223426, 0.0574957704015088, 0.04688884675413578, 0.034812662775167355, 0.0215111816552685, 0.01533006453586413, 0.012458970079212728]",5.724587470723463e-17,1.6653345369377348e-16,"[0.0886081178622342, 0.05749577040150872, 0.04688884675413561, 0.0348126627751673, 0.021511181655268472, 0.015330064535864135, 0.012458970079212721]"
8,1,reversible,16,"[0.007851398551087616, 0.003305763614063019, 0.0021985639499328465, 0.0012119214894975112, 0.0004627309362059826, 0.0002350108786737564, 0.0001552259354347208]",1.5844840320752443e-17,3.2959746043559335e-17,"[0.007851398551087588, 0.003305763614063006, 0.0021985639499328136, 0.0012119214894975188, 0.0004627309362059588, 0.00023501087867375926, 0.00015522593543471785]"
8,1,metastable_reversible,2,"[0.9901574115591733, 0.31204525959998786, 0.14691431288130288, 0.07144419445317286, 0.04465194730325886, 0.036541728956005326, 0.03641107611117928]",9.71445146547012e-17,3.885780586188048e-16,"[0.9901574115591734, 0.31204525959998825, 0.14691431288130288, 0.07144419445317284, 0.04465194730325891, 0.03654172895600533, 0.03641107611117938]"
8,1,metastable_reversible,4,"[0.9804116996655615, 0.09737224403882404, 0.02158381532938538, 0.005104272921062813, 0.001993796397973023, 0.0013352979550941538, 0.0013257664635741412]",1.3196289299394996e-16,7.771561172376096e-16,"[0.9804116996655623, 0.09737224403882407, 0.021583815329385362, 0.005104272921062772, 0.001993796397973011, 0.0013352979550941585, 0.0013257664635740974]"
8,1,metastable_reversible,8,"[0.9612071008411152, 0.009481353909156302, 0.00046586108417301646, 2.6053602052715823e-05, 3.975224076604249e-06, 1.783020628890267e-06, 1.7576567161037779e-06]",2.571467090504336e-16,1.5543122344752192e-15,"[0.9612071008411167, 0.009481353909156309, 0.00046586108417301055, 2.6053602052694688e-05, 3.975224076570152e-06, 1.7830206288786417e-06, 1.7576567159377687e-06]"
8,1,metastable_reversible,16,"[0.9239190907073821, 8.989607195067661e-05, 2.1702654976098253e-07, 6.787901873032316e-10, 1.580241364621922e-11, 3.179175243592537e-12, 3.089357153739946e-12]",3.711301954005461e-16,2.55351295663786e-15,"[0.9239190907073846, 8.989607195067362e-05, 2.170265497468528e-07, 6.787901799201768e-10, 1.580240645894302e-11, 3.1791625630067865e-12, 3.089357131081142e-12]"
8,1,directed_cycle_normal,2,"[0.81611222920257, 0.8161122292025699, 0.5266000000000002, 0.5266000000000001, 0.49000000000000005, 0.4554877707974305, 0.4554877707974304]",2.7755575615628914e-16,4.440892098500626e-16,"[0.8161122292025695, 0.8161122292025695, 0.5266, 0.5265999999999996, 0.4900000000000001, 0.4554877707974304, 0.4554877707974301]"
8,1,directed_cycle_normal,4,"[0.6660391706539875, 0.6660391706539874, 0.2773075600000001, 0.27730755999999995, 0.24009999999999992, 0.20746910934601256, 0.20746910934601237]",1.942890293094024e-16,3.885780586188048e-16,"[0.6660391706539873, 0.6660391706539873, 0.2773075599999999, 0.27730755999999956, 0.2401000000000001, 0.20746910934601248, 0.2074691093460122]"
8,1,directed_cycle_normal,8,"[0.4436081768454517, 0.4436081768454515, 0.0768994828331536, 0.07689948283315357, 0.057648010000000034, 0.04304343133282775, 0.04304343133282772]",1.5463820700136108e-16,3.885780586188048e-16,"[0.4436081768454513, 0.4436081768454513, 0.07689948283315355, 0.07689948283315337, 0.05764801000000004, 0.04304343133282768, 0.04304343133282757]"
8,1,directed_cycle_normal,16,"[0.19678821456414547, 0.19678821456414544, 0.005913530460006532, 0.005913530460006505, 0.0033232930569600952, 0.0018527369809038495, 0.0018527369809038209]",1.0368070489454239e-16,3.0531133177191805e-16,"[0.19678821456414516, 0.19678821456414516, 0.005913530460006478, 0.00591353046000645, 0.003323293056960105, 0.0018527369809038519, 0.001852736980903842]"
8,1,directed_nonnormal,2,"[0.5331564355380074, 0.4815727977624484, 0.3753095377624622, 0.32465874610789175, 0.2808474480869058, 0.17290337697496289, 0.07828516451978927]",0.0179368417628101,0.031090942859413995,"[0.5623583264743299, 0.5071395576542124, 0.40640048062187617, 0.3149613296368588, 0.29616318936265834, 0.17287027149732687, 0.0636331290920406]"
8,1,directed_nonnormal,4,"[0.2490521608683645, 0.20317104340522302, 0.12328528720806031, 0.12126999380909724, 0.05439096040571762, 0.027765423108601944, 0.012380144676352366]",0.03270442623546462,0.06719472648664454,"[0.31624688735500905, 0.25719053093771016, 0.16516135064969195, 0.09920063916661805, 0.08771263473346183, 0.029884130767559504, 0.004049175118044304]"
8,1,directed_nonnormal,8,"[0.047829777175754144, 0.036457707288960015, 0.016303404907335284, 0.015656961481995423, 0.0011557124342245356, 0.0008754968222491163, 0.0004441903108300559]",0.01509225611598601,0.05218231658597764,"[0.10001209376173179, 0.06614696920402126, 0.027278271748430505, 0.009840766811065554, 0.007693506291885695, 0.0008930612717325966, 1.6395819136589103e-05]"
8,1,directed_nonnormal,16,"[0.0017590942151177263, 0.00167477408456148, 0.0002482070459535907, 0.0002427844442457821, 1.237308591588965e-06, 8.109372646244795e-07, 2.2467167270978668e-07]",0.0016634290660569543,0.008243324683487702,"[0.010002418898605429, 0.004375421534877737, 0.0007441041095812218, 9.68406914297693e-05, 5.919003906328478e-05, 7.975584350686427e-07, 2.688228851597414e-10]"
8,2,reversible,2,"[0.6429710074687603, 0.5118359959978371, 0.4558637776537322, 0.452751295328335, 0.4162469046969623, 0.39928342444609555, 0.360414026767581]",1.5067312477055697e-16,2.220446049250313e-16,"[0.6429710074687601, 0.5118359959978374, 0.4558637776537321, 0.4527512953283352, 0.4162469046969621, 0.3992834244460955, 0.36041402676758094]"
8,2,reversible,4,"[0.41341171644539226, 0.2619760867990978, 0.20781178377673115, 0.2049837354214852, 0.17326148566980198, 0.15942725303740082, 0.1298982706908225]",1.5463820700136108e-16,3.3306690738754696e-16,"[0.41341171644539243, 0.2619760867990981, 0.2078117837767313, 0.2049837354214854, 0.17326148566980182, 0.15942725303740085, 0.12989827069082255]"
8,2,reversible,8,"[0.1709092472943255, 0.06863147005456843, 0.04318573747646685, 0.04201833178734546, 0.030019542416506978, 0.02541704901105141, 0.016873560728466217]",6.294568041401557e-17,1.6653345369377348e-16,"[0.17090924729432555, 0.0686314700545686, 0.04318573747646692, 0.04201833178734553, 0.03001954241650694, 0.025417049011051438, 0.01687356072846621]"
8,2,reversible,16,"[0.029209970810712936, 0.004710278681851107, 0.0018650079213863246, 0.0017655402061914698, 0.000901172926896484, 0.0006460263804301712, 0.00028471705165725164]",1.8237829401452593e-17,3.903127820947816e-17,"[0.02920997081071293, 0.004710278681851146, 0.0018650079213863198, 0.0017655402061914518, 0.0009011729268964593, 0.0006460263804301909, 0.00028471705165723717]"
8,2,metastable_reversible,2,"[0.9896045370975592, 0.23536404818310747, 0.20383898094407418, 0.14710727127076365, 0.07915355115344062, 0.04267317444266592, 0.0292396532916043]",5.947623346206196e-17,2.220446049250313e-16,"[0.9896045370975591, 0.23536404818310744, 0.2038389809440744, 0.14710727127076365, 0.07915355115344064, 0.04267317444266593, 0.029239653291604273]"
8,2,metastable_reversible,4,"[0.9793171398440746, 0.05539623517714017, 0.04155033015231867, 0.021640549260730016, 0.006265284660200218, 0.001820999817014168, 0.0008549573246131625]",1.0049005278694219e-16,3.3306690738754696e-16,"[0.9793171398440743, 0.05539623517714012, 0.04155033015231874, 0.021640549260730044, 0.006265284660200344, 0.001820999817014197, 0.0008549573246132245]"
8,2,metastable_reversible,8,"[0.9590620603923786, 0.0030687428718010165, 0.0017264299357666864, 0.0004683133723060947, 3.925379187327065e-05, 3.316040333529819e-06, 7.309520269085113e-07]",8.062439244233861e-17,4.440892098500626e-16,"[0.9590620603923782, 0.0030687428718010165, 0.0017264299357666873, 0.00046831337230608357, 3.925379187334174e-05, 3.316040333565739e-06, 7.309520269098025e-07]"
8,2,metastable_reversible,16,"[0.9198000356840746, 9.417182813226747e-06, 2.980560323161245e-06, 2.1931741467264548e-07, 1.5408601513786785e-09, 1.0996112396484885e-11, 5.342264215426164e-13]",1.4992973685726148e-16,8.881784197001252e-16,"[0.9198000356840738, 9.41718281322955e-06, 2.9805603231113684e-06, 2.1931741468069645e-07, 1.5408601764356301e-09, 1.0996123493834778e-11, 5.342908656435487e-13]"
8,2,directed_cycle_normal,2,"[0.81611222920257, 0.8161122292025699, 0.5266000000000002, 0.5266000000000001, 0.49000000000000005, 0.4554877707974305, 0.4554877707974304]",2.7755575615628914e-16,4.440892098500626e-16,"[0.8161122292025695, 0.8161122292025695, 0.5266, 0.5265999999999996, 0.4900000000000001, 0.4554877707974304, 0.4554877707974301]"
8,2,directed_cycle_normal,4,"[0.6660391706539875, 0.6660391706539874, 0.2773075600000001, 0.27730755999999995, 0.24009999999999992, 0.20746910934601256, 0.20746910934601237]",1.942890293094024e-16,3.885780586188048e-16,"[0.6660391706539873, 0.6660391706539873, 0.2773075599999999, 0.27730755999999956, 0.2401000000000001, 0.20746910934601248, 0.2074691093460122]"
8,2,directed_cycle_normal,8,"[0.4436081768454517, 0.4436081768454515, 0.0768994828331536, 0.07689948283315357, 0.057648010000000034, 0.04304343133282775, 0.04304343133282772]",1.5463820700136108e-16,3.885780586188048e-16,"[0.4436081768454513, 0.4436081768454513, 0.07689948283315355, 0.07689948283315337, 0.05764801000000004, 0.04304343133282768, 0.04304343133282757]"
8,2,directed_cycle_normal,16,"[0.19678821456414547, 0.19678821456414544, 0.005913530460006532, 0.005913530460006505, 0.0033232930569600952, 0.0018527369809038495, 0.0018527369809038209]",1.0368070489454239e-16,3.0531133177191805e-16,"[0.19678821456414516, 0.19678821456414516, 0.005913530460006478, 0.00591353046000645, 0.003323293056960105, 0.0018527369809038519, 0.001852736980903842]"
8,2,directed_nonnormal,2,"[0.6270273267050227, 0.46614891941964287, 0.38919044663763425, 0.343012527514025, 0.23675272990182364, 0.20119797517135754, 0.1091304886766]",0.03158162282180098,0.06478142619724891,"[0.6633902781374428, 0.5309303456168918, 0.4445367773139313, 0.3114510791325981, 0.23921419373649946, 0.1865718134515091, 0.09319891116591035]"
8,2,directed_nonnormal,4,"[0.31749088425341115, 0.2578937935641453, 0.12326629076300584, 0.11173706607200516, 0.054112881757624305, 0.04121396253340407, 0.016358264688878764]",0.036122665648564374,0.12259577687386258,"[0.44008666112727374, 0.28188703189687214, 0.19761294638465576, 0.0970017746928599, 0.057223430485003494, 0.03480904157458472, 0.00868603704251125]"
8,2,directed_nonnormal,8,"[0.09247247748613688, 0.06831438698359783, 0.012628751591080128, 0.01165589847741257, 0.002763467864097395, 0.002119848401736508, 0.0003107434250119979]",0.020381844442845194,0.10120379181601497,"[0.19367626930215184, 0.0794602987516282, 0.039050876578824834, 0.009409344293564353, 0.0032745209964720272, 0.0012116693753411673, 7.544723950387758e-05]"
8,2,directed_nonnormal,16,"[0.006289107755666901, 0.006220954820755607, 0.00014970046875310245, 0.00013699603735452544, 6.829088518863626e-06, 4.816077047057453e-06, 1.0858019469617893e-07]",0.004677921254819213,0.031221389535132746,"[0.037510497290799645, 0.006313939077698006, 0.0015249709615746101, 8.853576003483206e-05, 1.072248775633616e-05, 1.4681426751396546e-06, 5.692285948755467e-09]"
8,3,reversible,2,"[0.6061361383749954, 0.49862338872280765, 0.46056261055663683, 0.4314254943237217, 0.41925123835536265, 0.3765615531780203, 0.30979410636980975]",8.723180907769087e-17,3.3306690738754696e-16,"[0.6061361383749957, 0.49862338872280765, 0.46056261055663694, 0.4314254943237216, 0.4192512383553626, 0.3765615531780203, 0.3097941063698098]"
8,3,reversible,4,"[0.36740101824415144, 0.2486252837814162, 0.2121179182427444, 0.18612795715246763, 0.17577160086250504, 0.14179860333184305, 0.09597238834146897]",9.71445146547012e-17,4.440892098500626e-16,"[0.3674010182441519, 0.24862528378141613, 0.2121179182427444, 0.18612795715246755, 0.17577160086250504, 0.14179860333184305, 0.09597238834146904]"
8,3,reversible,8,"[0.13498350820683935, 0.0618145317353897, 0.044994011239635645, 0.034643616433750836, 0.030895655669767798, 0.020106843906861394, 0.009210699323965727]",5.92284158226367e-17,2.7755575615628914e-16,"[0.13498350820683963, 0.061814531735389706, 0.0449940112396356, 0.0346436164337508, 0.030895655669767787, 0.020106843906861366, 0.009210699323965742]"
8,3,reversible,16,"[0.018220547487825877, 0.0038210363336654853, 0.00202446104743243, 0.0012001801596088354, 0.0009545415392648819, 0.0004042851718948912, 8.48369820365158e-05]",2.327743342820218e-17,6.591949208711867e-17,"[0.018220547487825943, 0.003821036333665501, 0.0020244610474324546, 0.0012001801596088486, 0.0009545415392648544, 0.00040428517189488813, 8.483698203650296e-05]"
8,3,metastable_reversible,2,"[0.987128789257779, 0.4296897658374617, 0.33547188107973047, 0.2540857542369457, 0.15266933005308514, 0.09974345739324045, 0.07777253301417525]",1.6851599480917554e-16,5.551115123125783e-16,"[0.9871287892577796, 0.42968976583746166, 0.33547188107973047, 0.2540857542369453, 0.152669330053085, 0.09974345739324042, 0.07777253301417524]"
8,3,metastable_reversible,4,"[0.974423246581529, 0.18463329486545274, 0.11254138299517291, 0.06455957050615752, 0.0233079243388578, 0.00994875729275726, 0.006048566891440983]",1.5748810985475157e-16,6.661338147750939e-16,"[0.9744232465815297, 0.18463329486545266, 0.11254138299517283, 0.06455957050615735, 0.023307924338857804, 0.009948757292757167, 0.006048566891440977]"
8,3,metastable_reversible,8,"[0.9495006634784865, 0.03408945357287325, 0.012665562886466211, 0.004167938143939499, 0.0005432593369859268, 9.897777167018797e-05, 3.658516144024425e-05]",3.3389070743110514e-16,2.220446049250313e-15,"[0.9495006634784887, 0.034089453572873185, 0.012665562886466177, 0.004167938143939502, 0.0005432593369859199, 9.89777716701889e-05, 3.658516144023595e-05]"
8,3,metastable_reversible,16,"[0.901551509946086, 0.001162090844897074, 0.0001604164832311307, 1.737170837172182e-05, 2.9513070720877143e-07, 9.79659926916298e-09, 1.3384740534168228e-09]",6.262152782683055e-16,4.218847493575595e-15,"[0.9015515099460902, 0.0011620908448970763, 0.00016041648323102944, 1.737170837170586e-05, 2.951307072223813e-07, 9.79659928479605e-09, 1.3384740376081277e-09]"
8,3,directed_cycle_normal,2,"[0.81611222920257, 0.8161122292025699, 0.5266000000000002, 0.5266000000000001, 0.49000000000000005, 0.4554877707974305, 0.4554877707974304]",2.7755575615628914e-16,4.440892098500626e-16,"[0.8161122292025695, 0.8161122292025695, 0.5266, 0.5265999999999996, 0.4900000000000001, 0.4554877707974304, 0.4554877707974301]"
8,3,directed_cycle_normal,4,"[0.6660391706539875, 0.6660391706539874, 0.2773075600000001, 0.27730755999999995, 0.24009999999999992, 0.20746910934601256, 0.20746910934601237]",1.942890293094024e-16,3.885780586188048e-16,"[0.6660391706539873, 0.6660391706539873, 0.2773075599999999, 0.27730755999999956, 0.2401000000000001, 0.20746910934601248, 0.2074691093460122]"
8,3,directed_cycle_normal,8,"[0.4436081768454517, 0.4436081768454515, 0.0768994828331536, 0.07689948283315357, 0.057648010000000034, 0.04304343133282775, 0.04304343133282772]",1.5463820700136108e-16,3.885780586188048e-16,"[0.4436081768454513, 0.4436081768454513, 0.07689948283315355, 0.07689948283315337, 0.05764801000000004, 0.04304343133282768, 0.04304343133282757]"
8,3,directed_cycle_normal,16,"[0.19678821456414547, 0.19678821456414544, 0.005913530460006532, 0.005913530460006505, 0.0033232930569600952, 0.0018527369809038495, 0.0018527369809038209]",1.0368070489454239e-16,3.0531133177191805e-16,"[0.19678821456414516, 0.19678821456414516, 0.005913530460006478, 0.00591353046000645, 0.003323293056960105, 0.0018527369809038519, 0.001852736980903842]"
8,3,directed_nonnormal,2,"[0.48285846686734507, 0.46312329915777817, 0.4158712065673416, 0.3620121560537574, 0.30112120485105914, 0.2040593460514079, 0.09240955260802239]",0.024563627188482602,0.08217743221638002,"[0.5650358990837251, 0.49172990675622985, 0.4226057794330302, 0.3761109368809338, 0.30182869130936724, 0.17480458425699927, 0.08204380404905752]"
8,3,directed_nonnormal,4,"[0.21086776566752216, 0.1885648632772225, 0.1578484799783549, 0.1267889820825687, 0.06885109353150513, 0.04183931492094747, 0.015941826482828828]",0.03425594820107463,0.10839780158583137,"[0.31926556725335353, 0.2417983011984905, 0.17859564481019893, 0.14145943684145376, 0.09110055889752529, 0.030556642677262356, 0.0067311857828401475]"
8,3,directed_nonnormal,8,"[0.037432663847472354, 0.030945110786580285, 0.020844861116773215, 0.01912421333307948, 0.002346180642049085, 0.0022591352048209777, 0.0005456619993551107]",0.01596230850695252,0.06449783858613323,"[0.10193050243360559, 0.058466418462475925, 0.03189640434517074, 0.020010772271501245, 0.008299311831441473, 0.0009337084117058912, 4.530886204310933e-05]"
8,3,directed_nonnormal,16,"[0.0011951905870769986, 0.0010797570453543516, 0.00042355808628193015, 0.00035006038902684293, 5.489441112479058e-06, 4.432169771577283e-06, 3.8312616037279806e-07]",0.0017492464987018449,0.009194636739290277,"[0.010389827326367276, 0.0034183220878293455, 0.0010173806101506269, 0.000400431006901883, 6.887857687550442e-05, 8.718113980903379e-07, 2.0528929796415127e-09]"
8,4,reversible,2,"[0.5907021078550583, 0.5192122724383882, 0.4879480985815329, 0.43301451791279094, 0.4209125953915141, 0.3746876358184723, 0.312364204882331]",1.6653345369377348e-16,4.996003610813204e-16,"[0.5907021078550584, 0.519212272438388, 0.4879480985815328, 0.43301451791279144, 0.42091259539151393, 0.3746876358184723, 0.31236420488233113]"
8,4,reversible,4,"[0.34892898022440894, 0.269581383850635, 0.23809334690933318, 0.18750157272324677, 0.17716741295922045, 0.14039082443523612, 0.09757139649177088]",1.4472550142435077e-16,4.163336342344337e-16,"[0.34892898022440905, 0.2695813838506348, 0.23809334690933326, 0.1875015727232472, 0.17716741295922034, 0.14039082443523615, 0.09757139649177092]"
8,4,reversible,8,"[0.12175143324044596, 0.07267412251882334, 0.05668844184248805, 0.03515683977369101, 0.031388292214662925, 0.019709583585605272, 0.00952017741335437]",5.377642775528102e-17,1.457167719820518e-16,"[0.12175143324044604, 0.0726741225188233, 0.05668844184248811, 0.035156839773691155, 0.03138829221466291, 0.0197095835856053, 0.009520177413354368]"
8,4,reversible,16,"[0.014823411496102768, 0.005281528083880947, 0.0032135794385291625, 0.0012360033828729756, 0.0009852248881530906, 0.0003884676851179521, 9.063377798175459e-05]",1.3761623289333867e-17,2.2551405187698492e-17,"[0.01482341149610279, 0.005281528083880939, 0.0032135794385291573, 0.0012360033828729923, 0.0009852248881530683, 0.0003884676851179619, 9.063377798174266e-05]"
8,4,metastable_reversible,2,"[0.9883834910726749, 0.30753224086221337, 0.1759620335903536, 0.12825395831619982, 0.073970596065453, 0.02422696595412423, 0.017077512948158683]",8.029291517378364e-17,3.3306690738754696e-16,"[0.9883834910726752, 0.30753224086221337, 0.17596203359035367, 0.12825395831619976, 0.07397059606545302, 0.02422696595412422, 0.01707751294815875]"
8,4,metastable_reversible,4,"[0.9769019254250089, 0.09457607916973435, 0.030962637265252772, 0.01644907782377354, 0.005471649082278421, 0.0005869458793421907, 0.00029164144849450936]",6.997750593270727e-17,2.220446049250313e-16,"[0.9769019254250091, 0.09457607916973443, 0.03096263726525275, 0.016449077823773507, 0.005471649082278413, 0.0005869458793422941, 0.00029164144849452974]"
8,4,metastable_reversible,8,"[0.9543373718990896, 0.008944634751119843, 0.000958684906419599, 0.00027057216125255163, 2.9938943679604054e-05, 3.445054653009542e-07, 8.505473445168845e-08]",6.393610961086498e-17,3.3306690738754696e-16,"[0.95433737189909, 0.008944634751119875, 0.0009586849064196183, 0.0002705721612525574, 2.9938943679598193e-05, 3.445054652768989e-07, 8.505473447998744e-08]"
8,4,metastable_reversible,16,"[0.9107598194032612, 8.000649083099916e-05, 9.190767498291913e-07, 7.320929447306868e-08, 8.963403189911638e-10, 1.1871809287686417e-13, 7.24423486420745e-15]",1.3846804944636937e-16,7.771561172376096e-16,"[0.910759819403262, 8.000649083094129e-05, 9.190767497967924e-07, 7.320929444487991e-08, 8.963403486501526e-10, 1.1868401560565261e-13, 7.234307857461163e-15]"
8,4,directed_cycle_normal,2,"[0.81611222920257, 0.8161122292025699, 0.5266000000000002, 0.5266000000000001, 0.49000000000000005, 0.4554877707974305, 0.4554877707974304]",2.7755575615628914e-16,4.440892098500626e-16,"[0.8161122292025695, 0.8161122292025695, 0.5266, 0.5265999999999996, 0.4900000000000001, 0.4554877707974304, 0.4554877707974301]"
8,4,directed_cycle_normal,4,"[0.6660391706539875, 0.6660391706539874, 0.2773075600000001, 0.27730755999999995, 0.24009999999999992, 0.20746910934601256, 0.20746910934601237]",1.942890293094024e-16,3.885780586188048e-16,"[0.6660391706539873, 0.6660391706539873, 0.2773075599999999, 0.27730755999999956, 0.2401000000000001, 0.20746910934601248, 0.2074691093460122]"
8,4,directed_cycle_normal,8,"[0.4436081768454517, 0.4436081768454515, 0.0768994828331536, 0.07689948283315357, 0.057648010000000034, 0.04304343133282775, 0.04304343133282772]",1.5463820700136108e-16,3.885780586188048e-16,"[0.4436081768454513, 0.4436081768454513, 0.07689948283315355, 0.07689948283315337, 0.05764801000000004, 0.04304343133282768, 0.04304343133282757]"
