run_id,name,experiment_group,claim_id,dataset_name,config,seed,state,requested_gpus,slurm_job_id,start_time,end_time,exit_code,failure_reason,retry_from,resolved_by_run,resolution_state,resolution_note,profile
20260807-040232_cifar10-9view-raw-first-5epoch-smoke,cifar10-9view-raw-first-5epoch-smoke,,,cifar10,configs/ssl/cifar10_paper_concat_smoke.json,,FAILED,1,926657,2026-08-07T04:02:33+02:00,2026-08-07T04:03:13+02:00,1,command exited with code 1,20260807-040103_cifar10-9view-raw-first-5epoch-smoke,20260807-040406_cifar10-9view-raw-first-5epoch-smoke,SUCCEEDED,recovered by retry,default
20260807-041010_e2-gaussian-oracle-variance,e2-gaussian-oracle-variance,E2,C2,,,,FAILED,0,926688,2026-08-07T04:10:25+02:00,2026-08-07T04:10:29+02:00,1,command exited with code 1,,,,,default
20260807-041214_e2-gaussian-fixed-view-budget-m16-b512,e2-gaussian-fixed-view-budget-m16-b512,E2,C2,,configs/toy/gaussian_reference.json,,STOPPED,1,926694,2026-08-07T04:12:16+02:00,2026-08-07T04:12:47+02:00,,stopped by operator,,,,,default
20260807-042640_cifar10-2view-5epoch-cifar10c,cifar10-2view-5epoch-cifar10c,,,cifar10,,,FAILED,1,926731,2026-08-07T04:26:41+02:00,2026-08-07T04:28:04+02:00,1,command exited with code 1,,20260807-042824_cifar10-2view-5epoch-cifar10c,FAILED,retry chain remains terminal,default
20260807-042824_cifar10-2view-5epoch-cifar10c,cifar10-2view-5epoch-cifar10c,,,cifar10,,,FAILED,1,926734,2026-08-07T04:28:25+02:00,2026-08-07T04:29:49+02:00,1,command exited with code 1,20260807-042640_cifar10-2view-5epoch-cifar10c,,,,default
20260807-043211_continue-cifar10-matched-evaluations,continue-cifar10-matched-evaluations,,,,,,STOPPED,0,926736,2026-08-07T04:32:25+02:00,2026-08-07T05:08:22+02:00,,stopped by operator,,20260807-052124_continue-cifar10-matched-evaluations,FAILED,retry chain remains terminal,default
20260807-043316_submit-e1-finite-20seed-sweep,submit-e1-finite-20seed-sweep,E1,C1,,,,FAILED,0,926738,2026-08-07T04:33:25+02:00,2026-08-07T04:33:39+02:00,3,command exited with code 3,,,,,default
20260807-043339_e1-finite-reference-seed-20260915,e1-finite-reference-seed-20260915,E1,C1,,configs/toy/finite_learning_reference.json,,BLOCKED,0,,,2026-08-07T04:33:39+02:00,1,"sbatch failed: sbatch: error: QOSMaxSubmitJobPerUserLimit
sbatch: error: Batch job submission failed: Job violates accounting/QOS policy (job submit limit, user's size and/or time limits)",,20260807-122853_e1-finite-reference-seed-20260915,SUCCEEDED,recovered by retry,default
20260807-045357_summarize-cifar100-experiments,summarize-cifar100-experiments,,,,,,FAILED,0,926779,2026-08-07T04:54:05+02:00,2026-08-07T04:54:05+02:00,2,command exited with code 2,,20260807-052413_summarize-cifar100-experiments,SUCCEEDED,recovered by retry,default
20260807-050947_continue-cifar10-matched-evaluations,continue-cifar10-matched-evaluations,,,,,,STOPPED,0,926798,2026-08-07T05:10:05+02:00,2026-08-07T05:15:05+02:00,-15,received stop signal,20260807-043211_continue-cifar10-matched-evaluations,20260807-052124_continue-cifar10-matched-evaluations,FAILED,retry chain remains terminal,default
20260807-052124_continue-cifar10-matched-evaluations,continue-cifar10-matched-evaluations,,,,,,FAILED,0,926800,2026-08-07T05:21:26+02:00,2026-08-07T05:31:41+02:00,3,command exited with code 3,20260807-050947_continue-cifar10-matched-evaluations,,,,default
20260807-052911_inspect-factor-dataset-layouts,inspect-factor-dataset-layouts,E7,"C4,C5",,,,FAILED,0,926819,2026-08-07T05:29:25+02:00,2026-08-07T05:29:33+02:00,1,command exited with code 1,,,,,default
20260807-053033_e8-markov-exact-direct-vs-composed,e8-markov-exact-direct-vs-composed,E8,C6,,,,FAILED,0,926820,2026-08-07T05:30:45+02:00,2026-08-07T05:30:51+02:00,1,command exited with code 1,,,,,default
20260807-053302_inspect-factor-layouts-header-only,inspect-factor-layouts-header-only,E7,"C4,C5",,,,FAILED,0,926822,2026-08-07T05:33:05+02:00,2026-08-07T05:33:05+02:00,127,runner could not start command: FileNotFoundError: [Errno 2] No such file or directory: '/home/infres/yinwang/FMCA-AV/.venv/bin/python',,,,,default
20260807-053303_e8-markov-exact-direct-vs-composed-retry,e8-markov-exact-direct-vs-composed-retry,E8,C6,,,,FAILED,0,926823,2026-08-07T05:33:06+02:00,2026-08-07T05:33:09+02:00,127,command exited with code 127,,,,,default
20260807-053311_inspect-factor-layouts-header-only-retry,inspect-factor-layouts-header-only-retry,E7,"C4,C5",,,,FAILED,0,926824,2026-08-07T05:33:25+02:00,2026-08-07T05:33:28+02:00,127,command exited with code 127,,,,,default
20260807-054148_launch-factor-smoke-wave,launch-factor-smoke-wave,E7,"C4,C5",,,,FAILED,0,926835,2026-08-07T05:42:36+02:00,2026-08-07T06:17:44+02:00,1,command exited with code 1,,,,,default
20260807-054808_launch-cifar10-baseline-screening-wave,launch-cifar10-baseline-screening-wave,,,,,,STOPPED,0,926841,2026-08-07T05:48:26+02:00,2026-08-07T06:03:06+02:00,,stopped by operator,,,,,default
20260807-055001_launch-localization-wave,launch-localization-wave,E9,C7,,,,FAILED,0,926843,2026-08-07T05:50:06+02:00,2026-08-07T06:15:14+02:00,127,command exited with code 127,,,,,default
20260807-055125_launch-cifar10-tsd-full-severity-sweep,launch-cifar10-tsd-full-severity-sweep,E7,"C4,C5",,,,STOPPED,0,926846,2026-08-07T05:51:56+02:00,2026-08-07T06:03:27+02:00,,stopped by operator,,,,,default
20260807-055302_launch-imagenet-robustness-wave,launch-imagenet-robustness-wave,E6,C3,,,,FAILED,0,926847,2026-08-07T05:53:03+02:00,2026-08-07T06:53:14+02:00,1,command exited with code 1,,,,,default
20260807-055517_launch-low-label-probe-wave,launch-low-label-probe-wave,E6,C3,,,,FAILED,0,926853,2026-08-07T05:53:32+02:00,2026-08-07T10:54:25+02:00,2,command exited with code 2,,,,,default
20260807-055725_cifar100-convnext_tiny-32step-smoke,cifar100-convnext_tiny-32step-smoke,,,cifar100,configs/ssl/cifar100_smoke.json,,FAILED,1,926859,2026-08-07T05:59:12+02:00,2026-08-07T05:59:42+02:00,1,command exited with code 1,,20260807-061137_cifar100-convnext_tiny-32step-smoke,SUCCEEDED,recovered by retry,default
20260807-055830_cifar10-moco_v2-5epoch-screening,cifar10-moco_v2-5epoch-screening,,,cifar10,configs/ssl/cifar10_baseline_smoke.json,,FAILED,1,926857,2026-08-07T05:58:32+02:00,2026-08-07T05:58:43+02:00,1,command exited with code 1,,20260807-060309_cifar10-moco_v2-5epoch-screening,SUCCEEDED,recovered by retry,default
20260807-055835_launch-ddp-scaling-wave-after-tsd,launch-ddp-scaling-wave-after-tsd,E7,"C4,C5",,,,STOPPED,0,926858,2026-08-07T05:56:49+02:00,2026-08-07T06:03:28+02:00,,stopped by operator,,,,,default
20260807-060016_launch-cross-dataset-baseline-wave,launch-cross-dataset-baseline-wave,,,,,,STOPPED,0,926862,2026-08-07T05:58:30+02:00,2026-08-07T06:03:27+02:00,,stopped by operator,,,,,default
20260807-060226_cifar100-vit_s_16-32step-smoke,cifar100-vit_s_16-32step-smoke,,,cifar100,configs/ssl/cifar100_smoke.json,,FAILED,1,926868,2026-08-07T06:04:14+02:00,2026-08-07T06:04:36+02:00,1,command exited with code 1,,20260807-061136_cifar100-vit_s_16-32step-smoke,SUCCEEDED,recovered by retry,default
20260807-060307_cifar100-convnext_tiny-32step-smoke,cifar100-convnext_tiny-32step-smoke,,,cifar100,configs/ssl/cifar100_smoke.json,,FAILED,1,926865,2026-08-07T06:03:38+02:00,2026-08-07T06:04:08+02:00,1,command exited with code 1,20260807-055725_cifar100-convnext_tiny-32step-smoke,20260807-061137_cifar100-convnext_tiny-32step-smoke,SUCCEEDED,recovered by retry,default
20260807-060445_launch-cifar10-tsd-full-severity-sweep-fixed,launch-cifar10-tsd-full-severity-sweep-fixed,E7,"C4,C5",,,,FAILED,0,926870,2026-08-07T06:02:59+02:00,2026-08-07T07:18:17+02:00,1,command exited with code 1,,,,,default
20260807-060532_launch-ddp-scaling-wave-fixed,launch-ddp-scaling-wave-fixed,E10,C3,,,,FAILED,0,926873,2026-08-07T06:03:46+02:00,2026-08-07T07:19:30+02:00,1,command exited with code 1,,,,,default
20260807-060740_dsprites-lightning-32step-smoke,dsprites-lightning-32step-smoke,,,dsprites,configs/ssl/dsprites_smoke.json,,FAILED,1,926874,2026-08-07T06:08:11+02:00,2026-08-07T06:08:39+02:00,1,command exited with code 1,,20260807-061652_dsprites-lightning-32step-smoke,SUCCEEDED,recovered by retry,default
20260807-060741_smallnorb-lightning-32step-smoke,smallnorb-lightning-32step-smoke,,,smallnorb,configs/ssl/smallnorb_smoke.json,,FAILED,1,926876,2026-08-07T06:07:44+02:00,2026-08-07T06:08:15+02:00,1,command exited with code 1,,20260807-061654_smallnorb-lightning-32step-smoke,SUCCEEDED,recovered by retry,default
20260807-061026_e3-full-exact-numerical-ablation,e3-full-exact-numerical-ablation,E3,"C1,C2",,,,FAILED,0,926880,2026-08-07T06:08:40+02:00,2026-08-07T06:08:43+02:00,1,command exited with code 1,,,,,default
20260807-062122_launch-imagenet1k-reference-wave,launch-imagenet1k-reference-wave,,,,,,FAILED,0,926902,2026-08-07T06:19:36+02:00,2026-08-07T07:19:48+02:00,1,command exited with code 1,,,,,default
20260807-062417_launch-e3-cifar-numerics-wave,launch-e3-cifar-numerics-wave,E3,"C1,C2",,,,FAILED,0,926908,2026-08-07T06:22:31+02:00,2026-08-07T07:18:07+02:00,1,command exited with code 1,,,,,default
20260807-063552_coco2017-fmca-detection-32step-smoke,coco2017-fmca-detection-32step-smoke,E6,C3,coco,configs/ssl/imagenet1k_smoke.json,,FAILED,1,926928,2026-08-07T06:37:40+02:00,2026-08-07T06:38:25+02:00,1,command exited with code 1,,,,,imagenet
20260807-064055_coco2017-fmca-maskrcnn-16step-smoke,coco2017-fmca-maskrcnn-16step-smoke,,,coco,configs/ssl/imagenet1k_smoke.json,,FAILED,1,926940,2026-08-07T06:42:42+02:00,2026-08-07T06:43:26+02:00,1,command exited with code 1,,,,,imagenet
20260807-064447_continue-coco-mask-fixed,continue-coco-mask-fixed,,,,,,FAILED,0,926944,2026-08-07T06:43:01+02:00,2026-08-07T07:18:11+02:00,1,command exited with code 1,,,,,default
20260807-064740_e3-cifar10-objective-logdet,e3-cifar10-objective-logdet,E3,"C1,C2",cifar10,configs/ssl/cifar10_smoke.json,,FAILED,1,926950,2026-08-07T06:50:27+02:00,2026-08-07T06:51:36+02:00,1,command exited with code 1,,,,,default
20260807-071234_launch-e7-crossscale-tsd-sweep,launch-e7-crossscale-tsd-sweep,E7,"C4,C5",,,,FAILED,0,926988,2026-08-07T07:10:48+02:00,2026-08-07T07:20:51+02:00,1,command exited with code 1,,,,,default
20260807-071321_launch-e7-tsd-utility-probe-wave,launch-e7-tsd-utility-probe-wave,E7,"C4,C5",,,,FAILED,0,926990,2026-08-07T07:11:35+02:00,2026-08-07T07:21:38+02:00,1,command exited with code 1,,,,,default
20260807-071622_launch-architecture-localization-wave,launch-architecture-localization-wave,E9,C7,,,,BLOCKED,0,,,2026-08-07T07:16:22+02:00,1,"sbatch failed: sbatch: error: QOSMaxSubmitJobPerUserLimit
sbatch: error: Batch job submission failed: Job violates accounting/QOS policy (job submit limit, user's size and/or time limits)",,20260807-122813_launch-architecture-localization-wave,SUCCEEDED,recovered by retry,default
20260807-072153_recover-interrupted-e3-tsd-coco,recover-interrupted-e3-tsd-coco,E3,"C1,C2",,,,FAILED,0,926999,2026-08-07T07:20:07+02:00,2026-08-07T07:25:11+02:00,1,command exited with code 1,,,,,default
20260807-090348_continue-crossscale-tsd-after-recovery,continue-crossscale-tsd-after-recovery,E7,"C4,C5",,,,FAILED,0,927164,2026-08-07T09:02:02+02:00,2026-08-07T09:02:03+02:00,1,command exited with code 1,,20260807-090915_continue-crossscale-tsd-after-recovery,RUNNING,retry in progress,default
20260807-090945_continue-e2-cifar-gradient-variance,continue-e2-cifar-gradient-variance,E2,C2,,,,STOPPED,0,927175,2026-08-07T09:07:59+02:00,2026-08-07T09:16:30+02:00,,stopped by operator,,20260807-091630_continue-e2-cifar-gradient-variance,SUCCEEDED,recovered by retry,default
20260807-091000_imagenet-formal-state-machine,imagenet-formal-state-machine,,,,,,STOPPED,0,927180,2026-08-07T09:08:14+02:00,2026-08-07T09:17:40+02:00,,stopped by operator,,20260807-135904_imagenet-formal-state-machine,RUNNING,retry in progress,default
20260807-091004_formal-ssl-state-machine,formal-ssl-state-machine,E5,C3,,,,STOPPED,0,927182,2026-08-07T09:08:18+02:00,2026-08-07T09:17:41+02:00,,stopped by operator,,20260807-135904_formal-ssl-state-machine,RUNNING,retry in progress,default
20260807-091015_imagenet-formal-state-machine,imagenet-formal-state-machine,,,,,,STOPPED,0,927183,2026-08-07T09:08:30+02:00,2026-08-07T09:15:00+02:00,,stopped by operator,,,,,default
20260807-091300_e2-cifar10-frozen-gradient-variance-500,e2-cifar10-frozen-gradient-variance-500,E2,C2,cifar10,configs/ssl/cifar10_paper_concat_smoke.json,,FAILED,1,927188,2026-08-07T09:14:47+02:00,2026-08-07T09:14:49+02:00,1,command exited with code 1,,,,,default
20260807-091740_imagenet-formal-state-machine,imagenet-formal-state-machine,,,,,,STOPPED,0,927196,2026-08-07T09:17:41+02:00,2026-08-07T09:35:57+02:00,,stopped by operator,20260807-091000_imagenet-formal-state-machine,20260807-135904_imagenet-formal-state-machine,RUNNING,retry in progress,default
20260807-091811_formal-ssl-state-machine,formal-ssl-state-machine,E5,C3,,,,STOPPED,0,927197,2026-08-07T09:16:27+02:00,2026-08-07T09:35:25+02:00,,stopped by operator,20260807-091004_formal-ssl-state-machine,20260807-135904_formal-ssl-state-machine,RUNNING,retry in progress,default
20260807-092702_launch-formal-downstream,launch-formal-downstream,,,,,,STOPPED,0,927211,2026-08-07T09:25:16+02:00,2026-08-07T09:37:51+02:00,,stopped by operator,,20260807-100355_launch-formal-downstream,RUNNING,retry in progress,default
20260807-093630_imagenet-formal-state-machine,imagenet-formal-state-machine,,,,,,STOPPED,0,927228,2026-08-07T09:34:44+02:00,2026-08-07T09:45:54+02:00,,stopped by operator,20260807-091740_imagenet-formal-state-machine,20260807-135904_imagenet-formal-state-machine,RUNNING,retry in progress,default
20260807-093830_launch-formal-downstream,launch-formal-downstream,,,,,,STOPPED,0,927231,2026-08-07T09:36:44+02:00,2026-08-07T10:03:30+02:00,,stopped by operator,20260807-092702_launch-formal-downstream,20260807-100355_launch-formal-downstream,RUNNING,retry in progress,default
20260807-094011_formal-ssl-state-machine,formal-ssl-state-machine,E5,C3,,,,STOPPED,0,927237,2026-08-07T09:38:25+02:00,2026-08-07T09:45:54+02:00,,stopped by operator,20260807-091811_formal-ssl-state-machine,20260807-135904_formal-ssl-state-machine,RUNNING,retry in progress,default
20260807-094640_formal-ssl-state-machine,formal-ssl-state-machine,E5,C3,,,,STOPPED,0,927260,2026-08-07T09:44:54+02:00,2026-08-07T09:58:02+02:00,,stopped by operator,20260807-094011_formal-ssl-state-machine,20260807-135904_formal-ssl-state-machine,RUNNING,retry in progress,default
20260807-094640_imagenet-formal-state-machine,imagenet-formal-state-machine,,,,,,STOPPED,0,927259,2026-08-07T09:45:24+02:00,2026-08-07T13:59:04+02:00,,stopped by operator,20260807-093630_imagenet-formal-state-machine,20260807-135904_imagenet-formal-state-machine,RUNNING,retry in progress,default
20260807-100057_formal-ssl-state-machine,formal-ssl-state-machine,E5,C3,,,,STOPPED,0,927293,2026-08-07T09:59:12+02:00,2026-08-07T13:59:03+02:00,,stopped by operator,20260807-094640_formal-ssl-state-machine,20260807-135904_formal-ssl-state-machine,RUNNING,retry in progress,default
20260807-105403_diagnose-tsd-recovery-process,diagnose-tsd-recovery-process,E7,"C4,C5",,,,FAILED,0,927378,2026-08-07T10:54:04+02:00,2026-08-07T10:54:04+02:00,255,command exited with code 255,,,,,default
20260807-105829_complete-low-label-probe-wave-existing,complete-low-label-probe-wave-existing,E6,C3,,,,FAILED,0,927396,2026-08-07T10:56:44+02:00,2026-08-07T11:06:44+02:00,1,command exited with code 1,,20260807-111328_complete-low-label-probe-wave-existing,SUCCEEDED,recovered by retry,default
20260807-114401_e8-markov-observation-noise-10rep,e8-markov-observation-noise-10rep,E8,C6,,,20303000,STOPPED,0,927481,2026-08-07T11:44:02+02:00,2026-08-07T11:45:25+02:00,-15,received stop signal,,,,,default
20260807-121034_e3-gaussian-finite-estimator-controls-20rep,e3-gaussian-finite-estimator-controls-20rep,E3,"C1,C2",,,20308000,FAILED,0,927550,2026-08-07T12:10:35+02:00,2026-08-07T12:10:39+02:00,1,command exited with code 1,,,,,default
20260807-121647_e3-gaussian-finite-estimator-controls-20rep-fixed,e3-gaussian-finite-estimator-controls-20rep-fixed,E3,"C1,C2",,,20308000,FAILED,0,927563,2026-08-07T12:16:48+02:00,2026-08-07T12:16:52+02:00,1,command exited with code 1,,,,,default
20260807-125217_e1-high-resource-gaussian-20rep-standalone,e1-high-resource-gaussian-20rep-standalone,E1,C1,,,20300000,STOPPED,0,927610,2026-08-07T12:50:33+02:00,2026-08-07T12:52:29+02:00,,stopped by operator,,,,,default
